	chr11:70507923-70507701:-	chr11:70506057-70505933:-	chr11:70349036-70348901:-	chr11:70348391-70348311:-	chr11:70346698-70346675:-	chr11:70338570-70338440:-	chr11:70336492-70336271:-	chr11:70335453-70335433:-	chr11:70333825-70331419:-	chr11:70319544-70313962:-
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4729-01A-01R-1436-07__expression_exon.txt	0.162428013	0.364820329	0.14562156	0.188200963	0	0.099460286	0.146726323	0	0.243047551	0.248753863
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4730-01A-01R-1436-07__expression_exon.txt	0	0.052705923	0	0	0	0	0	0	0.041056754	0.056642583
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4731-01A-01R-1436-07__expression_exon.txt	0.368570369	1.008828273	0.780659133	0.943373489	0	0.421216215	0.240096819	0	0.92202187	0.775695909
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4733-01A-02R-1873-07__expression_exon.txt	0.507500665	1.670411033	1.021421428	1.171724911	0	0.833176912	0.222181499	0	1.12341676	0.817457138
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4734-01A-01R-1436-07__expression_exon.txt	0.172174033	0.321211477	0.322909056	0.370223491	0	0.343854128	0.184253487	0	0.310633568	0.232405285
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4735-01A-01R-1436-07__expression_exon.txt	6.355188983	12.20258449	11.25699274	12.05859083	0.012342	10.87829508	5.282375878	0.063473141	12.53592345	17.30431922
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4736-01A-01R-1436-07__expression_exon.txt	0.664063656	0.948482188	0.470015431	0.396459812	0	0.808611063	0.312617728	0	0.753452952	0.966576193
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4737-01A-01R-1436-07__expression_exon.txt	0.680735402	1.855417555	1.781478581	2.365761217	0	1.434831859	0.646490453	0.007585269	1.774035979	1.38790864
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4738-01A-02R-1514-07__expression_exon.txt	0.933207029	2.336712383	2.022065037	1.442415051	0	2.140702132	0.938604058	0.094619063	2.196954798	1.691340751
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4739-01A-02R-1514-07__expression_exon.txt	0.030006852	0.05839879	0.101088592	0.040554715	0	0.164385908	0.026305761	0	0.078245159	0.124192006
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4740-01A-01R-1436-07__expression_exon.txt	0.025042495	0.05341673	0	0.074939296	0	0.046336511	0	0	0.027740304	0.031530075
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4741-01A-01R-1436-07__expression_exon.txt	0.149588643	0.551948397	0.499771272	0.64374864	0	0.42672301	0.173340319	0	0.598674217	0.721646079
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-4742-01A-02R-1514-07__expression_exon.txt	0.505183518	1.289550796	0.898850462	1.538772807	0	1.278060148	0.350902583	0.022827948	0.949811462	0.452918882
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5355-01A-01R-1436-07__expression_exon.txt	0.388525301	0.954726167	0.447745611	0.702500043	0	0.851051225	0.499297374	0.036782484	1.220797976	0.881132552
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5356-01A-01R-1436-07__expression_exon.txt	0.017971547	0.010124602	0	0.065101608	0	0.030592786	0.005700789	0	0.039828553	0.032888031
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5358-01A-01R-1514-07__expression_exon.txt	0.153960031	0.212139399	0.325310514	0.306699261	0	0.194965398	0.080470137	0	0.147161184	0.097318302
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5359-01A-01R-1436-07__expression_exon.txt	0.898823043	2.503405231	1.968727507	1.561450159	0	2.093762959	0.740685443	0.010920646	2.014028929	1.663109949
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5360-01A-01R-1436-07__expression_exon.txt	0.409410265	1.143043899	1.250531439	1.534052252	0	1.337259816	0.345186501	0.031390232	1.168174368	0.996791665
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5361-01A-01R-1436-07__expression_exon.txt	2.680747086	7.362639106	6.301079082	5.876151177	0	4.911048063	2.324645254	0.032367232	5.77691562	7.603842957
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5363-01A-01R-1436-07__expression_exon.txt	2.417453724	5.297070253	3.881048561	4.290239346	0	3.637121351	2.140403905	0	5.612183955	7.072741646
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5364-01A-01R-1436-07__expression_exon.txt	2.816698018	7.410352994	6.143684128	6.118911302	0	5.592839841	2.232575745	0.085094311	6.575842312	7.527942998
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5370-01A-01R-2016-07__expression_exon.txt	0.709398853	2.249231433	1.480192745	2.397328976	0.007809831	2.00313232	0.86456944	0.053553129	2.130945097	1.928612886
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5373-01A-01R-1436-07__expression_exon.txt	2.132821343	5.693170251	4.132855612	5.27768887	0	4.229368726	1.801861444	0.070732453	4.230529457	3.180733123
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-5374-01A-01R-1436-07__expression_exon.txt	0	0	0	0	0	0	0	0	0.014134841	0.01980536
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6010-01A-11R-1686-07__expression_exon.txt	0.704760822	2.05848808	0.884882874	1.105816763	0	1.222778649	0.749396673	0	1.58776424	1.420174349
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6011-01A-11R-1686-07__expression_exon.txt	0.136672814	0.346128203	0.387087375	0.257864774	0	0.476702344	0.345621292	0	0.585208498	0.471427731
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6012-01A-11R-1686-07__expression_exon.txt	0.313490381	1.146949085	0.686167457	1.052422417	0	1.141250229	0.668349648	0.007688151	1.512087097	1.306704711
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6013-01A-11R-1686-07__expression_exon.txt	1.203213916	2.41606995	2.330508129	2.426067834	0	2.073821847	0.800033167	0.007259651	2.618487069	2.078331603
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6016-01A-11R-1686-07__expression_exon.txt	0.857503504	2.131669365	1.779707111	2.438183914	0	1.891716131	0.926767529	0.007856661	2.318906499	2.100865342
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6018-01A-11R-1686-07__expression_exon.txt	0.820082692	1.732499143	0.961497396	1.622212249	0	1.482132723	0.672047242	0	1.73065561	1.335637548
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6019-01A-11R-1686-07__expression_exon.txt	0.639570977	1.487998142	1.023031157	1.449932314	0	0.945628364	0.4205742	0	1.113913722	1.406258001
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6021-01A-11R-1686-07__expression_exon.txt	0.066385797	0.219757642	0.163279773	0.178704373	0	0.120541742	0	0	0.111459066	0.148491104
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6022-01A-21R-1686-07__expression_exon.txt	0.247000154	0.773382686	1.055912685	1.222982149	0	1.124102741	0.462046735	0	0.970571883	1.026400636
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6023-01A-11R-1686-07__expression_exon.txt	0.010143967	0	0	0	0	0	0	0	0.054132623	0.056011702
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6024-01A-11R-1686-07__expression_exon.txt	0.591792194	1.892731113	1.419305159	1.181700652	0	1.082653693	0.550768848	0.015142818	1.3663924	1.362930925
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6988-01A-11R-1915-07__expression_exon.txt	0	0.103455348	0.23233677	0.141579354	0	0.149006694	0.00274773	0	0.184342003	0.236241032
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6989-01A-11R-1915-07__expression_exon.txt	2.020088141	4.84253837	3.700814539	3.517415964	0.009827218	3.513492856	1.432648968	0.067386635	3.941306265	4.979595326
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6992-01A-11R-1915-07__expression_exon.txt	0.480311279	1.25336615	0.993511745	0.515968633	0	0.964618629	0.269081986	0.020839421	1.085978863	1.124169756
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6994-01A-11R-1915-07__expression_exon.txt	6.223035766	15.41857326	14.29834773	16.34778961	0	13.06257403	4.699958454	0.060539065	13.13250008	11.80111634
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6995-01A-31R-2016-07__expression_exon.txt	2.034415402	4.374099945	2.799512892	2.605290836	0	3.289164955	1.65009931	0	4.05341843	6.724088011
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6997-01A-11R-2016-07__expression_exon.txt	0.718380565	1.842751153	1.391826631	1.61990697	0	1.543379606	0.520418863	0.004912117	2.118973323	2.356995189
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CN-6998-01A-23R-2016-07__expression_exon.txt	0.508932754	1.308298971	0.664366722	0.749685235	0	0.905512808	0.228259242	0	0.871768055	1.252449694
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-5323-01A-01R-1686-07__expression_exon.txt	0.554689222	1.390019266	5.368827708	5.677213889	0.009269761	4.578554531	2.041351787	0.021188026	5.684878569	4.975725011
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-5324-01A-01R-1686-07__expression_exon.txt	2.143344181	5.706052941	4.547512793	4.700938971	0	5.097366995	2.214127872	0.199568164	5.83730661	5.401923785
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-5325-01A-01R-1686-07__expression_exon.txt	0.413461187	0.501252018	0.505656851	0.534558134	0	1.094631997	0.44171159	0	1.058380426	1.255577146
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-5326-01A-01R-1873-07__expression_exon.txt	2.645954121	7.170400659	5.651412701	4.490762228	0	5.212492702	2.276588692	0.15276774	5.455787061	5.371071389
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-5329-01A-01R-1686-07__expression_exon.txt	1.424134141	3.650247625	2.168363904	2.632513215	0	2.501800709	1.169741557	0.04115088	2.652013485	2.550984156
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-5330-01A-01R-1686-07__expression_exon.txt	1.377210729	2.747513237	2.618524439	2.857614994	0	3.089242891	1.337913698	0.010234196	2.684467494	3.21765107
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-5331-01A-02R-1873-07__expression_exon.txt	0.014897917	0.042819925	0.036642304	0.036458004	0	0.033814103	0	0	0.012882232	0.009521005
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-5332-01A-01R-1686-07__expression_exon.txt	0.198838235	0.574244823	0.425455341	0.829720042	0	0.541872136	0.11016713	0	0.482763043	0.444973116
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-5334-01A-01R-1686-07__expression_exon.txt	0	0	0	0	0	0	0	0	0.022010445	0.018978736
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-6220-01A-11R-1915-07__expression_exon.txt	0.262084463	1.107168453	0.317477522	0.695192763	0	0.714331335	0.067295273	0	0.579133773	0.729491552
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-6221-01A-11R-2081-07__expression_exon.txt	0.035557179	0.140461016	0.04997427	0	0	0	0	0	0.070590993	0.077910809
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-6222-01A-11R-1915-07__expression_exon.txt	0.109261053	0.295822373	0.177048274	0.044236047	0	0.025163895	0.028406716	0.027299961	0.247647617	0.364819745
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-6223-01A-11R-1915-07__expression_exon.txt	0.530986052	1.095510757	1.121379062	1.469971882	0.022841414	1.243688833	0.503251909	0.015662684	1.466435854	1.675197397
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-6224-01A-11R-1915-07__expression_exon.txt	0.297006796	0.654801324	0.40066749	0.510877438	0	0.56041492	0.218751854	0.00542845	0.750384511	0.888375575
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-7065-01A-11R-2081-07__expression_exon.txt	0.285618896	0.706210257	0.61108977	0.951877398	0	0.631215082	0.18246181	0	0.956736854	2.345899212
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CQ-7068-01A-11R-2081-07__expression_exon.txt	0.085183981	0.162965923	0.034000243	0.064801264	0	0.005723994	0	0	0.097196128	0.140777476
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-5243-01A-01R-1514-07__expression_exon.txt	0.583562667	2.094912484	1.807206061	1.995529846	0	1.694551792	0.690376507	0.006329806	2.322917711	2.381142963
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-5247-01A-01R-2016-07__expression_exon.txt	0	0	0	0	0	0.029466811	0.09642477	0	0.111968763	0.153681994
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-5248-01A-01R-2016-07__expression_exon.txt	0	0	0	0	0	0	0	0	0.028257537	0.016751182
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-5249-01A-01R-1514-07__expression_exon.txt	0.032923753	0.118559655	0.124965907	0.203105084	0	0.155682718	0.09860373	0	0.130144802	0.143780227
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-5250-01A-01R-1514-07__expression_exon.txt	0.16411317	0.353092655	0.32453369	0.517748225	0	0.278169215	0.243387262	0	0.627691447	0.534171974
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6467-01A-11R-1873-07__expression_exon.txt	0.084640427	0.257065775	0.234242684	0.319411204	0	0.256537238	0.08460695	0	0.305135226	0.47198788
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6470-01A-11R-1873-07__expression_exon.txt	0	0	0.048536398	0	0	0	0	0	0.021939178	0.011823303
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6471-01A-11R-1873-07__expression_exon.txt	0.429121844	0.651877246	0.367997606	0.627187184	0	0.435798154	0.244698666	0	0.668548485	0.738743724
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6472-01A-11R-1873-07__expression_exon.txt	0	0	0	0	0	0	0	0	0.007073272	0.009148504
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6473-01A-11R-1873-07__expression_exon.txt	0.541805122	1.4012468	0.723180119	0.968654076	0	0.880130695	0.351768553	0	0.996427559	1.172778801
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6474-01A-11R-1873-07__expression_exon.txt	4.143981492	10.45491496	8.437679527	8.793743668	0.026609879	7.112759678	3.049827737	0.126713709	9.68966623	7.392065153
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6477-01A-11R-1873-07__expression_exon.txt	0.276348003	1.007351876	0.35406868	0.261837185	0	0.258631631	0.116564948	0	0.643225291	0.584922711
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6478-01A-11R-1873-07__expression_exon.txt	0.686034878	1.62525902	0.955845129	0.867428723	0.00447641	0.923438897	0.322301498	0.005115897	1.216765148	1.457390068
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6480-01A-11R-1873-07__expression_exon.txt	0.026298544	0.07372609	0.023871039	0.174540933	0	0.038372358	0.080194483	0.014960651	0.070875076	0.078313637
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6481-01A-11R-1873-07__expression_exon.txt	0.023743479	0.086519215	0.039760669	0.133517307	0	0	0	0	0.056163803	0.072621559
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6482-01A-11R-1873-07__expression_exon.txt	0.029215805	0.019545373	0.031936884	0.226219599	0	0.056986616	0	0	0.037217682	0.045827399
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6484-01A-11R-1873-07__expression_exon.txt	0.08908732	0.181299956	0.183948819	0.087205366	0	0.053920875	0.063636348	0	0.211292769	0.21761511
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6487-01A-11R-1873-07__expression_exon.txt	0	0.046202484	0	0	0	0	0	0	0.004798762	0.002068891
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6488-01A-12R-2081-07__expression_exon.txt	1.366174649	2.915984899	2.874307002	3.370869881	0	3.105149339	1.28502339	0	3.921946651	4.507373061
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6492-01A-12R-2081-07__expression_exon.txt	0.637384911	1.296938799	1.057440062	0.949764986	0	0.91605139	0.441388616	0	1.304450462	2.018257837
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-6493-01A-11R-1873-07__expression_exon.txt	1.446789025	3.654127185	3.293173436	3.885726396	0	3.18999353	1.31243427	0.03415634	3.180183682	2.747002964
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7364-01A-11R-2016-07__expression_exon.txt	0.181544874	0.554637745	0.333649889	0.3665264	0	0.520220763	0.136771983	0	0.553851714	0.49025435
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7365-01A-11R-2016-07__expression_exon.txt	0.903254527	2.363916122	1.732252921	1.796897737	0	1.871012022	0.591875912	0.029048161	2.161067341	2.01962609
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7367-01A-11R-2016-07__expression_exon.txt	0.257112777	0.677316754	0.482266676	0.411481307	0	0.483493818	0.207582253	0	0.638035496	0.539326309
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7368-01A-11R-2132-07__expression_exon.txt	0.025435237	0.138851977	0.143469699	0.099436076	0	0.049359893	0.032703757	0	0.100339104	0.085482169
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7369-01A-11R-2132-07__expression_exon.txt	0.321859096	1.360273927	0.993190659	1.093735887	0	0.578223977	0.267833397	0.006305972	1.051260885	1.139551229
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7370-01A-11R-2132-07__expression_exon.txt	0.322392165	0.742481512	0.702688876	0.825721679	0	0.602346932	0.303533584	0.005964282	0.952565431	0.807158658
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7371-01A-11R-2016-07__expression_exon.txt	2.110240619	5.590096104	2.707787293	2.685285731	0.005699899	2.945847016	1.155384924	0.097712554	3.121508105	3.29558908
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7372-01A-11R-2016-07__expression_exon.txt	0.995944206	1.723354711	1.615601406	1.772998674	0	1.517579932	0.684329173	0	1.977810285	1.971920793
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7373-01A-11R-2016-07__expression_exon.txt	0.77891956	2.11762501	1.995805247	1.317271212	0	1.840418515	0.897089288	0	2.015061425	2.531634999
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7374-01A-11R-2016-07__expression_exon.txt	0.815888777	1.234746715	1.15755237	0.746199344	0	0.769768735	0.400058336	0	1.198409066	1.356356358
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7376-01A-11R-2132-07__expression_exon.txt	0.517359527	1.838396653	1.771155146	1.357410634	0.004910247	1.829760615	0.624795813	0.044893691	1.799414959	1.397750359
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7377-01A-11R-2016-07__expression_exon.txt	2.035480955	4.902252332	4.115736101	4.95531895	0.005312643	4.772132637	1.648929647	0.036429555	5.522747752	5.472690718
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7379-01A-11R-2016-07__expression_exon.txt	0.137551531	0.840876354	0.531281552	0.343346736	0	0.293471267	0.047899326	0	0.444895358	0.31321694
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7380-01A-11R-2016-07__expression_exon.txt	1.20015764	3.950024028	3.464142647	3.290938749	0	2.846893084	0.647729661	0.033940163	3.048036719	2.392662934
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7382-01A-11R-2132-07__expression_exon.txt	0.079884819	0.131396363	0.238750462	0.297919105	0	0.077155821	0.036423108	0	0.110858202	0.069496382
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7383-01A-11R-2132-07__expression_exon.txt	1.226193933	3.087596448	1.234611303	0.94548893	0	1.702616703	0.745669105	0.006266127	2.635818829	11.49610718
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7385-01A-11R-2016-07__expression_exon.txt	0	0	0	0	0	0	0	0	0	0.009202874
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7386-01A-11R-2016-07__expression_exon.txt	0.566920886	1.477528849	1.995488626	1.517184923	0	1.184764076	0.621172695	0.025224134	1.60980693	1.733051138
unc.edu__IlluminaHiSeq_RNASeq__TCGA-CR-7388-01A-11R-2016-07__expression_exon.txt	0.706537837	1.45251876	0.995343227	1.028618395	0	0.948633965	0.43619182	0	1.398844695	1.365557557
