	chr11:70507701-70507923:-	chr11:70505933-70506057:-	chr11:70348901-70349036:-	chr11:70348311-70348391:-	chr11:70346675-70346698:-	chr11:70338440-70338570:-	chr11:70336271-70336492:-	chr11:70335433-70335453:-	chr11:70331419-70333825:-	chr11:70313962-70319544:-
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4733-01A-02R-1873-07__expression_exon.txt	0.891078504	0.947178111	0.790559668	1.103467489	0.906762415	0.948293518	0.778391931	0.777224927	1.239028493	0.976600824
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4734-01A-01R-1436-07__expression_exon.txt	0.097902835	0.210857343	0.321063709	0.446897352	0.904967138	0.423123948	0.406623748	0.339362677	0.376584009	0.316021235
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4735-01A-01R-1436-07__expression_exon.txt	6.137659604	5.963596132	6.558965607	8.977075924	6.656860616	8.909993783	7.745454377	6.34552785	10.48873354	14.48360304
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4736-01A-01R-1436-07__expression_exon.txt	1.124460816	0.670886228	0.490864657	0.570446735	0.275857824	0.958132136	0.925739094	0.827573472	1.086068412	1.261074926
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4739-01A-02R-1514-07__expression_exon.txt	0.128033334	0.050570805	0.403605839	0.351186143	0.421423371	0.458418553	0.33884717	0.316067528	0.383299176	0.419309838
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4740-01A-01R-1436-07__expression_exon.txt	0.022364983	0.044332367	0.221661835	0.290075982	0.221661835	0.263963712	0.221661835	0.221661835	0.246986723	0.250446508
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-4741-01A-01R-1436-07__expression_exon.txt	0.062084676	0.302297289	0.261772993	0.487070506	0.104096863	0.342486625	0.453899834	0.520484313	0.514862131	0.615612774
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-5355-01A-01R-1436-07__expression_exon.txt	0.63270195	0.768286593	0.441447836	0.676682177	0.464502172	1.078815159	1.094300162	0.929004344	1.290986043	0.990696689
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-5361-01A-01R-1436-07__expression_exon.txt	2.862067718	3.766180724	4.410888181	4.456638002	4.294064371	4.549741486	3.960726341	2.862709581	5.516930175	7.158594231
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-5363-01A-01R-1436-07__expression_exon.txt	3.328157385	3.006075515	2.982451361	4.171604522	3.50241821	3.937833341	4.074885536	3.002072751	5.801055551	7.314680774
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-5373-01A-01R-1436-07__expression_exon.txt	2.399685937	3.400668846	2.28458588	4.278445732	2.363764258	3.559680611	2.984873485	2.363764258	3.608496787	2.735802979
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-5374-01A-01R-1436-07__expression_exon.txt	0	0	0	0	0	0.047162302	0	0	0.012320588	0.015935333
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6010-01A-11R-1686-07__expression_exon.txt	0.698427756	0.945206245	0.500979684	0.855217146	1.02541661	1.094125612	0.684124295	0.168190026	1.380901942	1.246328004
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6011-01A-11R-1686-07__expression_exon.txt	0.071156744	0.080909128	1.235997705	1.257208669	1.220611841	1.78499507	2.057917004	1.918104322	2.031189673	13.62502775
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6012-01A-11R-1686-07__expression_exon.txt	0.363391597	0.544607768	1.703303648	2.117110655	2.182796665	2.142181651	2.435981414	2.319221457	2.476843952	2.305952845
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6013-01A-11R-1686-07__expression_exon.txt	1.386559267	1.161174715	3.258558294	3.830469314	3.645316264	3.815962148	3.093322798	2.530082521	4.347993257	3.902252242
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6017-01A-11R-1686-07__expression_exon.txt	0.448937167	0.721977996	0.745638644	1.020318255	0.646933688	0.807432504	0.701573358	0.646933688	0.966503342	0.770572994
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6018-01A-11R-1686-07__expression_exon.txt	0.608057447	0.976529822	0.565913854	1.284264819	1.018430982	1.260544345	0.859833622	0.436470421	1.514560218	1.19529675
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6019-01A-11R-1686-07__expression_exon.txt	0.481602247	1.076608527	0.632233299	1.094064757	0.494159361	0.853776605	0.672976787	0.580441154	0.989003058	1.251551739
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6989-01A-11R-1915-07__expression_exon.txt	2.766198969	3.079234794	3.00828044	3.517898747	2.43275626	3.681834898	3.11646273	2.669484095	4.274955786	5.287482789
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6994-01A-11R-1915-07__expression_exon.txt	7.342963672	8.547367968	9.170782217	12.54411564	8.822634153	10.7050206	6.970013453	5.293580492	10.86579299	10.03222367
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CN-6995-01A-31R-2016-07__expression_exon.txt	2.036387898	2.902114618	1.737870957	2.462238135	2.636368658	3.081130088	2.266445758	1.230305374	3.798309534	19.99725529
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-5325-01A-01R-1686-07__expression_exon.txt	0.173330568	0.215906299	0.242168083	0.437663167	0.914857201	0.921840844	0.475973003	0.2287143	0.870482636	1.066636976
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-5326-01A-01R-1873-07__expression_exon.txt	2.186082133	2.974628263	3.671762339	3.713064256	3.844608168	4.615206839	3.364650649	2.306764901	5.142907863	5.233629163
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-5329-01A-01R-1686-07__expression_exon.txt	1.533472183	2.403249086	1.584623159	2.377195222	2.770544072	2.489561958	2.208055877	1.781064046	2.562535392	2.288972314
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-5331-01A-02R-1873-07__expression_exon.txt	0.065186523	0.026430172	0.09716975	0.115224129	0.082594287	0.112857843	0.082594287	0.082594287	0.09412386	0.091115568
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-5332-01A-01R-1686-07__expression_exon.txt	0.101915473	0.389035341	0.357569248	0.598300077	0	0.455410459	0.303359885	0.334222802	0.398165303	0.359605297
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-6221-01A-11R-2081-07__expression_exon.txt	0.101168179	0.049222918	0	0	0	0.128184682	0.128184682	0.128184682	0.189534392	0.194331927
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-6223-01A-11R-1915-07__expression_exon.txt	0.425570437	0.746501699	0.989309451	1.420964756	0.841497407	1.335404281	1.013334715	0.841497407	1.489663668	1.768238147
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-6224-01A-11R-1915-07__expression_exon.txt	0.310149666	0.414348624	0.409475173	0.480869815	0.210543	0.622789408	0.261281966	0.1052715	0.781248361	0.904773
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-6225-01A-11R-1915-07__expression_exon.txt	0.175691952	0.197463699	0.257834399	0.221290521	0.281601257	0.231785967	0.21707453	0.195896527	0.318667574	0.767726314
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CQ-6228-01A-11R-1915-07__expression_exon.txt	0.081271516	0.082360266	0.469963219	0.522960149	0.643439576	0.50345463	0.498520752	0.428959717	0.591000275	8.246909989
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-5243-01A-01R-1514-07__expression_exon.txt	1.014456094	1.401283252	1.111306751	1.517159676	1.569321354	1.433860262	1.225114695	0.965736218	2.009208785	2.085639085
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-5250-01A-01R-1514-07__expression_exon.txt	0.290549588	0.157455973	0.626418204	0.904552425	0.430992626	0.685420843	0.653607436	0.430992626	0.965062979	3.199674433
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-6467-01A-11R-1873-07__expression_exon.txt	0.028450968	0.109527242	0.155299454	0.140165847	0.250443389	0.202648849	0.129734188	0.08348113	0.255888564	0.404366862
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-6470-01A-11R-1873-07__expression_exon.txt	0	0	0	0	0	0	0	0	0.014984871	0.008613907
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-6472-01A-11R-1873-07__expression_exon.txt	0	0	0.623528398	0.623528398	0.623528398	0.623528398	0.623528398	0.623528398	0.629745549	0.631569603
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-6474-01A-11R-1873-07__expression_exon.txt	5.114370761	6.654314957	6.573649349	8.242683245	5.121061177	7.685931908	6.612152026	5.806557554	10.11769133	8.067644725
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-6484-01A-11R-1873-07__expression_exon.txt	0.129073876	0.051170621	0	0.077321862	0	0.048826928	0.057624573	0	0.18335962	0.186745729
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-6487-01A-11R-1873-07__expression_exon.txt	0	0	0	0	0	0	0	0	0.004236819	0.001826621
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-6491-01A-11R-1873-07__expression_exon.txt	0.467027865	0.361787295	0.657918269	0.779843034	0.606211955	0.911631719	0.919148397	0.848696738	1.148050094	1.118283526
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7365-01A-11R-2016-07__expression_exon.txt	1.251612872	1.670234732	1.243237526	1.493543364	1.216405062	1.574320222	1.001217926	0.774075948	1.883757856	2.010307781
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7367-01A-11R-2016-07__expression_exon.txt	0.283691257	0.308064036	0.478420949	0.453159331	0.229214313	0.519126072	0.548149046	0.474236509	0.726781734	0.661297881
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7368-01A-11R-2132-07__expression_exon.txt	0.079989072	0.047566835	0.167340222	0.192373321	0.205029461	0.147120377	0.276605061	0.307544191	0.194467079	0.176237934
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7370-01A-11R-2132-07__expression_exon.txt	0.567959484	0.358904711	0.634542469	0.7328436	0.979543425	0.674464251	0.69274017	0.587726055	0.914959486	0.815163301
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7371-01A-11R-2016-07__expression_exon.txt	2.796875439	3.488743303	1.740532165	2.482037225	1.897305362	2.873355204	2.702364789	2.615606348	3.005077513	7.56259178
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7376-01A-11R-2132-07__expression_exon.txt	0.677511211	0.798184906	0.810213145	0.947512946	1.206048621	1.590209841	1.183330261	1.096407838	1.656591618	1.253848311
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7380-01A-11R-2016-07__expression_exon.txt	1.355015098	2.031864657	2.957863311	3.202757484	2.486982444	3.412481636	2.694931145	2.797855249	3.668092459	3.130666777
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7383-01A-11R-2132-07__expression_exon.txt	1.622317167	2.003326947	1.15220444	1.177185258	1.168529484	2.063212745	1.750688768	1.402235381	2.863843905	10.66662513
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7386-01A-11R-2016-07__expression_exon.txt	0.812537636	0.708077567	1.247280864	1.215667217	0.48190397	1.077846284	1.116483222	0.96380794	1.417882807	1.529064695
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7388-01A-11R-2016-07__expression_exon.txt	0.780520713	0.748181526	0.944905182	0.977134652	1.212331177	1.109210313	1.020417747	0.86595084	1.508272664	1.496545456
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7390-01A-11R-2016-07__expression_exon.txt	1.151915332	1.421954858	1.294411466	2.35068641	2.069626078	2.21460213	1.475719072	1.095684394	2.200270624	1.945375681
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7391-01A-11R-2016-07__expression_exon.txt	0.195813096	0.494966967	0.630394062	0.85191465	1.353040914	0.743656075	0.773482849	0.615018597	0.981525733	0.853535214
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7394-01A-11R-2016-07__expression_exon.txt	0.037657553	0.20583138	0.396759323	0.447785602	0.178673073	0.50328522	0.217305088	0.178673073	0.535499604	0.504080166
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7395-01A-11R-2016-07__expression_exon.txt	0	0	0.218116753	0.347371125	0.218116753	0.279722248	0.22892434	0.218116753	0.244214645	0.266873641
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7397-01A-11R-2016-07__expression_exon.txt	0.161599244	0.170522273	0.573925076	0.666398439	0.920084209	0.86389586	0.419978378	0.153347368	0.640593181	0.624898079
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CR-7402-01A-11R-2016-07__expression_exon.txt	0.077983409	0.199640647	0.0882302	0.134184416	0	0.199125576	0.145310843	0.086951501	0.211616907	0.216249615
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5430-01A-02R-1686-07__expression_exon.txt	0.325670483	0.242565889	1.153448223	1.387486929	1.270929061	1.643753398	1.58743456	1.452490355	1.879351745	1.842149576
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5431-01A-01R-1514-07__expression_exon.txt	0	0.054425575	0.191756775	0.141733269	0.141733269	0.238025337	0.1723783	0.141733269	0.218871026	0.517429246
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5434-01A-01R-1686-07__expression_exon.txt	0.120170312	0.140937522	0.301039395	0.232812809	0.12406472	0.459323583	0.468875227	0.496258882	0.615530076	0.639278861
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5435-01A-01R-1686-07__expression_exon.txt	3.897731209	4.945266415	5.693159751	6.654680641	6.747448593	8.018740955	5.555178295	4.600533132	8.137165104	7.337011213
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5436-01A-01R-1514-07__expression_exon.txt	0.158963206	0.195415206	0.877239395	0.658297986	0.446833549	0.867516535	0.612551097	0.446833549	1.037228079	1.545069259
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5439-01A-01R-1686-07__expression_exon.txt	0.631489387	0.630048656	0.230101525	0.449124088	0.391172593	0.36429814	0.31834166	0	0.900222427	1.244073179
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5440-01A-01R-1514-07__expression_exon.txt	0.954075361	1.441945057	1.824178937	2.115217124	2.032229591	3.189753198	1.656907909	1.146385923	2.98193696	4.255924838
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5441-01A-01R-1514-07__expression_exon.txt	0	0	1.147274574	1.115754946	1.236147957	1.188966737	1.15819268	1.098798184	1.115232224	1.112993208
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5442-01A-01R-1514-07__expression_exon.txt	0.018173319	0.02521649	0	0	0	0	0	0	0.028123916	1.209307723
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5443-01A-01R-1514-07__expression_exon.txt	0	0.070823327	0.31055725	0.220867499	0.368871493	0.432227284	0.331485869	0.368871493	0.302514469	0.508643595
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5966-01A-11R-1686-07__expression_exon.txt	0	0	0	0	0	0	0	0	0.149361558	0.233829379
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5970-01A-11R-1686-07__expression_exon.txt	1.565020748	1.85305716	2.793330195	3.33265689	2.759934557	3.274796806	3.03718895	2.563197878	3.785471057	4.622513054
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-5976-01A-11R-1686-07__expression_exon.txt	1.262912516	1.394300577	1.728335489	2.675848201	1.830992222	1.931452196	1.742844792	1.144370139	2.75019672	4.520292794
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6436-01A-11R-1686-07__expression_exon.txt	0	0.040896447	0	0	0	0	0	0	0.008495315	0.049139709
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6441-01A-11R-1686-07__expression_exon.txt	0.143060529	0.068669054	0.316626612	0.286121058	0.286121058	0.286121058	0.286121058	0.286121058	0.303238396	0.295960794
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6934-01A-11R-1915-07__expression_exon.txt	1.051235114	1.157047153	1.020621553	1.74219679	2.142045234	1.906583773	1.702443518	1.28522714	2.462204018	3.372668061
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6935-01A-11R-1915-07__expression_exon.txt	0.348965433	0.329681729	1.529791004	1.734998011	1.600396742	1.953155948	2.002298176	2.000495928	2.109995445	2.325330172
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6935-11A-01R-1915-07__expression_exon.txt	0.171984101	0.188611504	0.142199985	0.299115075	0.10864718	0.148456833	0.22610359	0.10864718	0.272859244	0.257363237
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6936-01A-11R-1915-07__expression_exon.txt	1.082928418	1.007899451	2.145933122	2.061603286	1.644207913	2.272552635	2.081644984	1.849733902	2.522197519	3.16196378
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6938-11A-01R-1915-07__expression_exon.txt	0.665743173	0.827376639	0.829960555	0.990218705	0.973057203	0.812826409	1.022524075	0.973057203	1.119457583	1.289442092
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6939-01A-11R-1915-07__expression_exon.txt	0.0661962	0.238259868	0.350382159	0.506765823	0.129489059	0.796703675	0.271810367	0	0.444254528	0.489706607
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6940-01A-11R-1915-07__expression_exon.txt	1.287728648	1.863731486	1.525630381	2.187056303	1.483003932	1.929654665	1.834625257	1.078548314	2.800159215	3.937024929
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6943-11A-01R-1915-07__expression_exon.txt	0.248713238	0.205934561	0.16550403	0.175020427	0.124356619	0.038920774	0.149564042	0.124356619	0.229029037	0.283772762
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6948-01A-11R-1915-07__expression_exon.txt	0.018207876	0	0.12813012	0.129496964	0.084590759	0.160141284	0.249961882	0.253772276	0.17990033	0.309726722
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6953-01A-11R-1915-07__expression_exon.txt	0.06050574	0.037105145	0.383411568	0.258542212	0.140549793	0.192048954	0.140549793	0.140549793	0.174183645	0.179217979
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6955-11A-01R-2016-07__expression_exon.txt	0.698645944	0.739896566	0.822506772	1.221543467	0.922564296	1.246518171	1.004639273	0.807243759	1.589526156	1.673934502
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6956-11A-01R-2016-07__expression_exon.txt	0	0.062147296	0	0	0	0	0	0	0.0387291	0.025045928
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6959-01A-11R-1915-07__expression_exon.txt	1.607036459	1.555119288	2.21708089	2.364294469	2.285770937	2.302460934	1.570404318	1.093194796	2.639613117	2.27854385
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6959-11A-01R-1915-07__expression_exon.txt	0.005319418	0.11314812	0.026166845	0.041681406	0	0.033434559	0	0	0.111947143	0.194951086
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-6960-01A-41R-2016-07__expression_exon.txt	2.015202389	1.817401155	1.209949816	1.795760178	1.612050697	1.573240316	1.120503707	0.496015599	2.326811854	3.501249998
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7091-11A-01R-2016-07__expression_exon.txt	0.034665086	0.092763771	0.214443877	0.17568896	0.17568896	0.2494515	0.313391117	0.351377919	0.368457776	0.345650642
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7095-01A-21R-2016-07__expression_exon.txt	0.584792666	0.989374244	1.287952852	1.140653401	0.962426307	1.127728536	0.755779217	0.802021923	1.469829292	4.947654997
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7097-01A-11R-2016-07__expression_exon.txt	0.198103086	0.177202933	0.78705501	1.043430611	1.237450652	1.017354467	0.790407668	0.742470391	0.942302991	0.836980324
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7099-01A-41R-2016-07__expression_exon.txt	0.24166528	0.567673551	0.367602776	0.306945634	0.268784825	0.4411354	0.400755753	0.403177238	0.50691679	0.830474339
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7100-01A-11R-2016-07__expression_exon.txt	0.518492335	0.866481901	0.860418003	0.995348339	0.522396644	0.938453005	0.694175721	0.671652829	1.00196559	1.318451905
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7102-01A-11R-2016-07__expression_exon.txt	1.070795371	0.901544144	1.857911918	2.501281133	2.680266373	2.64120628	1.866418087	1.583793766	2.871692279	3.408018507
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7183-01A-11R-2016-07__expression_exon.txt	0.107485166	0.141457527	0.359229695	0.35736298	0	0.367941546	0.263728373	0.130979192	0.28067747	0.36914877
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7235-01A-11R-2016-07__expression_exon.txt	0.470900979	0.408778134	0.480244884	0.557978643	0.670567805	0.471956882	0.724938167	0.938794927	1.000252034	1.330445921
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7235-11A-01R-2016-07__expression_exon.txt	2.362666805	3.195030224	3.587041721	4.342081071	4.254034603	4.523374019	3.392857487	2.252135966	5.160430182	5.689190285
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7238-01A-11R-2016-07__expression_exon.txt	0.657997243	0.500837612	0.484153462	0.740038688	0.347161006	0.654570752	0.572867786	0.462881342	0.686533606	1.39482075
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7243-01A-11R-2016-07__expression_exon.txt	0.138409027	0.574136132	0.728462197	0.684827745	0.647521953	0.880662809	0.541546138	0.431681302	1.327505192	5.544587944
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7245-01A-11R-2016-07__expression_exon.txt	0.907858934	0.778079958	1.031299485	1.046035317	0.689787197	0.935512916	1.014484323	0.689787197	1.406608014	1.362750818
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7250-01A-11R-2016-07__expression_exon.txt	0.069829213	0.0989617	0.051364204	0.044917257	0.145531911	0.078876074	0.125209888	0.145531911	0.226248613	0.326984112
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7252-01A-11R-2016-07__expression_exon.txt	0.550946741	0.306096873	0.020095646	0.157968464	0.124227627	0.11758951	0.220476059	0.124227627	0.402462417	0.534893056
unc.edu__IlluminaHiSeq_RNASeqV2__TCGA-CV-7252-11A-01R-2016-07__expression_exon.txt	0.249189976	0.211009938	0.074376183	0.094844453	0.256080022	0.1466107	0.284917862	0.384120033	0.139530099	0.280137692
