"","chr11.70319544.70313962..","chr11.70333825.70331419..","chr11.70335453.70335433..","chr11.70336492.70336271..","chr11.70338570.70338440..","chr11.70346698.70346675..","chr11.70348391.70348311..","chr11.70349036.70348901..","chr11.70506057.70505933..","chr11.70507923.70507701..","SHANK2","tail","logRatio","aveIntensity","binbox","probability"
"TCGA-CQ-5331-01A",0.0095,0.0129,0,0,0.0338,0,0.0365,0.0366,0.0428,0.0149,0.0526,0.0428,-2.1716113780702,0.02615,1,0.0857350751980889
"TCGA-CQ-5332-01A",0.445,0.4828,0,0.1102,0.5419,0,0.8297,0.4255,0.5742,0.1988,0.7139,0.8297,-0.898784450079894,0.63735,3,0.180143980434789
"TCGA-CQ-5334-01A",0.019,0.022,0,0,0,0,0,0,0,0,0.0241,0.022,-0.211504105193712,0.0205,1,0.943534291103549
"TCGA-CQ-6220-01A",0.7295,0.5791,0,0.0673,0.7143,0,0.6952,0.3175,1.1072,0.2621,1.0337,1.1072,-0.601935964831471,0.91835,4,0.183034457881887
"TCGA-CQ-6221-01A",0.0779,0.0706,0,0,0,0,0,0.05,0.1405,0.0356,0.0965,0.1405,-0.850874897046619,0.1092,1,0.54303342841199
"TCGA-CQ-6222-01A",0.3648,0.2476,0.0273,0.0284,0.0252,0,0.0442,0.177,0.2958,0.1093,0.4508,0.2958,0.302483677065674,0.3303,2,0.468031578139773
"TCGA-CQ-6223-01A",1.6752,1.4664,0.0157,0.5033,1.2437,0.0228,1.47,1.1214,1.0955,0.531,2.275,1.47,0.188517192319719,1.5726,6,0.551985979043414
"TCGA-CQ-6224-01A",0.8884,0.7504,0.0054,0.2188,0.5604,0,0.5109,0.4007,0.6548,0.297,1.1458,0.7504,0.243549565031604,0.8194,4,0.298336536260021
"TCGA-CQ-7065-01A",2.3459,0.9567,0,0.1825,0.6312,0,0.9519,0.6111,0.7062,0.2856,2.3566,0.9567,1.29400301267946,1.6513,6,0.0074241439931919
"TCGA-CQ-7068-01A",0.1408,0.0972,0,0,0.0057,0,0.0648,0.034,0.163,0.0852,0.1777,0.163,-0.211224630481143,0.1519,1,0.943721249424597
"TCGA-CR-5243-01A",2.3811,2.3229,0.0063,0.6904,1.6946,0,1.9955,1.8072,2.0949,0.5836,3.2042,2.3229,0.0357011633289212,2.352,7,0.683741636597635
"TCGA-CR-5247-01A",0.1537,0.112,0,0.0964,0.0295,0,0,0,0,0,0.1805,0.112,0.456618432745805,0.13285,1,0.623609079553519
"TCGA-CR-5248-01A",0.0168,0.0283,0,0,0,0,0,0,0,0,0.0279,0.0283,-0.752340820053122,0.02255,1,0.599296512031175
"TCGA-CR-5249-01A",0.1438,0.1301,0,0.0986,0.1557,0,0.2031,0.125,0.1186,0.0329,0.212,0.2031,-0.498126563856855,0.17345,1,0.755237891390092
"TCGA-CR-5250-01A",0.5342,0.6277,0,0.2434,0.2782,0,0.5177,0.3245,0.3531,0.1641,0.7657,0.6277,-0.232695232947971,0.58095,3,0.854641294253782
"TCGA-CR-6467-01A",0.472,0.3051,0,0.0846,0.2565,0,0.3194,0.2342,0.2571,0.0846,0.52,0.3194,0.563422546837971,0.3957,2,0.243475723764053
"TCGA-CR-6470-01A",0.0118,0.0219,0,0,0,0,0,0.0485,0,0,0.0189,0.0485,-2.03919788771265,0.03015,1,0.108045303436639
"TCGA-CR-6471-01A",0.7387,0.6685,0,0.2447,0.4358,0,0.6272,0.368,0.6519,0.4291,1.0167,0.6685,0.144061017332608,0.7036,4,0.44668407278252
"TCGA-CR-6472-01A",0.0091,0.0071,0,0,0,0,0,0,0,0,0.0151,0.0071,0.358047520694014,0.0081,1,0.683353706822728
"TCGA-CR-6473-01A",1.1728,0.9964,0,0.3518,0.8801,0,0.9687,0.7232,1.4012,0.5418,1.5652,1.4012,-0.256705884668251,1.287,5,0.782996942240385
"TCGA-CR-6474-01A",7.3921,9.6897,0.1267,3.0498,7.1128,0.0266,8.7937,8.4377,10.4549,4.144,13.3516,10.4549,-0.500123084056802,8.9235,8,0.640846190355169
"TCGA-CR-6477-01A",0.5849,0.6432,0,0.1166,0.2586,0,0.2618,0.3541,1.0074,0.2763,0.9011,1.0074,-0.784374741917529,0.79615,4,0.0653017228464783
"TCGA-CR-6478-01A",1.4574,1.2168,0.0051,0.3223,0.9234,0.0045,0.8674,0.9558,1.6253,0.686,1.9104,1.6253,-0.15730914145083,1.54135,6,0.954825894858045
"TCGA-CR-6480-01A",0.0783,0.0709,0.015,0.0802,0.0384,0,0.1745,0.0239,0.0737,0.0263,0.1173,0.1745,-1.15614282380597,0.1264,1,0.387139773036764
"TCGA-CR-6481-01A",0.0726,0.0562,0,0,0,0,0.1335,0.0398,0.0865,0.0237,0.0908,0.1335,-0.878798288579166,0.10305,1,0.527581330695728
"TCGA-CR-6482-01A",0.0458,0.0372,0,0,0.057,0,0.2262,0.0319,0.0195,0.0292,0.0587,0.2262,-2.30417942589288,0.136,1,0.0672853016105886
"TCGA-CR-6484-01A",0.2176,0.2113,0,0.0636,0.0539,0,0.0872,0.1839,0.1813,0.0891,0.3105,0.2113,0.0423857893153989,0.21445,1,0.886628966529908
"TCGA-CR-6487-01A",0.0021,0.0048,0,0,0,0,0,0,0.0462,0,0.0079,0.0462,-4.4594316186373,0.02415,1,0.000271269262286605
"TCGA-CR-6488-01A",4.5074,3.9219,0,1.285,3.1051,0,3.3709,2.8743,2.916,1.3662,5.9669,3.9219,0.200742734373147,4.21465,8,0.681561597311275
"TCGA-CR-6491-01A",0.6407,0.7608,0,0.2349,0.4829,0,0.5303,0.5166,0.73,0.416,1.0223,0.7608,-0.247868255696304,0.70075,4,0.735094989537519
"TCGA-CR-6492-01A",2.0183,1.3045,0,0.4414,0.9161,0,0.9498,1.0574,1.2969,0.6374,2.3815,1.3045,0.629643688338636,1.6614,6,0.153943821035455
"TCGA-CR-6493-01A",2.747,3.1802,0.0342,1.3124,3.19,0,3.8857,3.2932,3.6541,1.4468,4.3265,3.8857,-0.500317609855968,3.31635,7,0.350952295608818
"TCGA-CR-7364-01A",0.4903,0.5539,0,0.1368,0.5202,0,0.3665,0.3336,0.5546,0.1815,0.746,0.5546,-0.177782854753793,0.52245,3,0.930029714329225
"TCGA-CR-7365-01A",2.0196,2.1611,0.029,0.5919,1.871,0,1.7969,1.7323,2.3639,0.9033,3.0799,2.3639,-0.227099424013976,2.19175,7,0.802844140817709
"TCGA-CR-7367-01A",0.5393,0.638,0,0.2076,0.4835,0,0.4115,0.4823,0.6773,0.2571,0.9079,0.6773,-0.32870696190904,0.6083,3,0.72634716738999
"TCGA-CR-7368-01A",0.0855,0.1003,0,0.0327,0.0494,0,0.0994,0.1435,0.1389,0.0254,0.1323,0.1435,-0.74705441178979,0.1145,1,0.602388295443954
"TCGA-CR-7369-01A",1.1396,1.0513,0.0063,0.2678,0.5782,0,1.0937,0.9932,1.3603,0.3219,1.547,1.3603,-0.25539733115934,1.24995,5,0.785136126098072
"TCGA-CR-7370-01A",0.8072,0.9526,0.006,0.3035,0.6023,0,0.8257,0.7027,0.7425,0.3224,1.2022,0.9526,-0.238944374257665,0.8799,4,0.754033310621682
"TCGA-CR-7371-01A",3.2956,3.1215,0.0977,1.1554,2.9458,0.0057,2.6853,2.7078,5.5901,2.1102,5.3034,5.5901,-0.762332943789072,4.44285,8,0.426866447911993
"TCGA-CR-7372-01A",1.9719,1.9778,0,0.6843,1.5176,0,1.773,1.6156,1.7234,0.9959,2.889,1.9778,-0.00431015371920974,1.97485,6,0.816881970808219
"TCGA-CR-7373-01A",2.5316,2.0151,0,0.8971,1.8404,0,1.3173,1.9958,2.1176,0.7789,3.1325,2.1176,0.257619372907217,2.3246,7,0.335957774978283
"TCGA-CR-7374-01A",1.3564,1.1984,0,0.4001,0.7698,0,0.7462,1.1576,1.2347,0.8159,1.7457,1.2347,0.135622142474625,1.29555,5,0.576045038550739
"TCGA-CR-7376-01A",1.3978,1.7994,0.0449,0.6248,1.8298,0.0049,1.3574,1.7712,1.8384,0.5174,2.199,1.8384,-0.39529275128858,1.6181,6,0.613602170374603
"TCGA-CR-7377-01A",5.4727,5.5227,0.0364,1.6489,4.7721,0.0053,4.9553,4.1157,4.9023,2.0355,7.5938,5.5227,-0.0131209868239799,5.4977,8,0.886472249268387
"TCGA-CR-7379-01A",0.3132,0.4449,0,0.0479,0.2935,0,0.3433,0.5313,0.8409,0.1376,0.5824,0.8409,-1.42485003246261,0.57705,3,0.0241849283153661
"TCGA-CR-7380-01A",2.3927,3.048,0.0339,0.6477,2.8469,0,3.2909,3.4641,3.95,1.2002,3.8433,3.95,-0.723213132152649,3.17135,7,0.136222321822919
"TCGA-CR-7382-01A",0.0695,0.1109,0,0.0364,0.0772,0,0.2979,0.2388,0.1314,0.0799,0.1581,0.2979,-2.09974324063866,0.1837,1,0.0973314156902297
"TCGA-CR-7383-01A",11.4961,2.6358,0.0063,0.7457,1.7026,0,0.9455,1.2346,3.0876,1.2262,10.609,3.0876,1.89658674837449,7.29185,8,0.0113416039429544
"TCGA-CR-7386-01A",1.7331,1.6098,0.0252,0.6212,1.1848,0,1.5172,1.9955,1.4775,0.5669,2.4133,1.9955,-0.203395378337352,1.8643,6,0.885926540376353
"TCGA-CR-7388-01A",1.3656,1.3988,0,0.4362,0.9486,0,1.0286,0.9953,1.4525,0.7065,1.9496,1.4525,-0.0890032001515155,1.40905,5,0.935177273180994
"TCGA-CR-7389-01A",0.292,0.2617,0,0.1585,0.3151,0,0.6386,0.4046,0.1598,0.0439,0.4325,0.6386,-1.12894418380271,0.4653,3,0.081834597569197
"TCGA-CR-7390-01A",1.7413,2.1765,0,0.8275,2.3135,0,2.5162,1.9441,2.314,0.872,2.8455,2.5162,-0.531081820075091,2.12875,7,0.312659325160422
"TCGA-CR-7391-01A",0.6897,0.8341,0.0711,0.3621,0.5992,0,0.8685,0.716,0.867,0.299,1.0553,0.8685,-0.332556882158419,0.7791,4,0.564685131132627
"TCGA-CR-7392-01A",1.3975,1.4822,0,0.6969,1.0663,0,1.1295,1.289,1.4677,0.696,2.0959,1.4822,-0.084891847126132,1.43985,5,0.928224621394647
"TCGA-CR-7393-01A",0.4882,0.5117,0,0.1024,0.2271,0,0.2092,0.2917,0.2529,0.2585,0.708,0.5117,-0.0678259382288876,0.49995,3,0.917798908448057
"TCGA-CR-7394-01A",0.3684,0.4082,0,0.0451,0.3641,0,0.3612,0.361,0.4521,0.0422,0.5528,0.4521,-0.295368856227645,0.41025,2,0.776462971071875
"TCGA-CR-7395-01A",0.0565,0.0388,0,0.0121,0.0688,0,0.1443,0,0,0,0.0734,0.1443,-1.35274852718865,0.1004,1,0.302978545448505
"TCGA-CR-7397-01A",0.5502,0.5746,0,0.3039,0.8739,0,0.7077,0.6528,0.5369,0.2437,0.8211,0.8739,-0.667512062545294,0.71205,4,0.129670557650861
"TCGA-CR-7398-01A",0.1322,0.1366,0,0.0988,0.2045,0,0.1147,0.1802,0.0999,0,0.2214,0.2045,-0.629378666321419,0.16835,1,0.672981001250238
"TCGA-CR-7399-01A",8.1931,6.3351,0.118,2.0648,5.3812,0,6.5519,5.1911,6.7624,3.0881,10.5908,6.7624,0.27687406856202,7.47775,8,0.613151109809621
"TCGA-CR-7401-01A",2.1126,1.347,0,0.2517,0.7934,0,1.1958,0.6981,0.9046,0.5031,2.4323,1.347,0.649269782234622,1.7298,6,0.14354721037383
"TCGA-CR-7402-01A",0.2516,0.2555,0,0.1014,0.2262,0,0.1158,0.1351,0.3682,0.0943,0.3572,0.3682,-0.549357704470617,0.3099,2,0.475937186925371
"TCGA-CR-7404-01A",0.4546,0.3575,0,0.1175,0.2456,0,0.3174,0.2357,0.2817,0.0716,0.5469,0.3575,0.346654442264734,0.40605,2,0.423549504111472
"TCGA-CV-5430-01A",0.4025,0.7171,0.01,0.2476,0.3446,0,0.3432,0.1644,0.3294,0.1893,0.671,0.7171,-0.833185534367135,0.5598,3,0.220065039096781
"TCGA-CV-5431-01A",0.1167,0.0959,0,0.0355,0.0602,0,0,0.058,0.0631,0,0.1539,0.0959,0.283201840689217,0.1063,1,0.73010811882715
"TCGA-CV-5432-01A",1.5175,0.6987,0,0.1657,0.3493,0,0.3552,0.3434,0.783,0.3987,1.6241,0.783,0.954612303852004,1.15025,5,0.0213700482881058
"TCGA-CV-5434-01A",0.6164,0.5866,0,0.1671,0.417,0,0.2791,0.2962,0.2933,0.2794,0.8412,0.5866,0.0714897907578295,0.6015,3,0.729927315346775
"TCGA-CV-5435-01A",8.1935,9.0739,0.0328,3.0729,9.0896,0.0072,9.1041,8.7061,9.6897,3.0414,12.1485,9.6897,-0.241972142960254,8.9416,8,0.885859873017157
"TCGA-CV-5436-01A",1.2404,0.8559,0.0323,0.2946,0.7721,0,0.4099,0.8097,0.6506,0.3046,1.5029,0.8559,0.535291278309747,1.04815,4,0.0631257348423287
