Sample	chr11:70319544-70313962:-	chr11:70333825-70331419:-	chr11:70335453-70335433:-	chr11:70336492-70336271:-	chr11:70338570-70338440:-	chr11:70346698-70346675:-	chr11:70348391-70348311:-	chr11:70349036-70348901:-	chr11:70506057-70505933:-	chr11:70507923-70507701:-	SHANK2
TCGA-BA-6868-01B	3.9157	2.0433	0.0465	0.7034	1.3576	0.0000	1.8373	1.4227	2.1021	0.7112	4.2243
TCGA-BA-6869-01A	0.1966	0.1086	0.0000	0.0172	0.0748	0.0000	0.0739	0.0000	0.1176	0.0513	0.2105
TCGA-BA-6870-01A	1.8565	0.4413	0.0145	0.0729	0.1607	0.0000	0.3697	0.5610	0.8807	0.3172	1.7919
TCGA-BA-6871-01A	0.7823	0.4465	0.0000	0.1049	0.1054	0.0000	0.1309	0.0974	0.3039	0.3100	0.9130
TCGA-BA-6872-01A	8.4901	2.4379	0.0475	0.7813	1.6454	0.0000	2.1191	1.9313	3.4169	0.9290	8.2646
TCGA-BA-6873-01A	0.4108	0.4957	0.0000	0.1821	0.1220	0.0000	0.2786	0.2420	0.6281	0.3479	0.6916
TCGA-BA-7269-01A	0.1870	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2660	0.0462	0.1648
TCGA-BB-4217-01A	0.4962	0.2799	0.0000	0.1089	0.1845	0.0000	0.1352	0.1416	0.3535	0.3043	0.6161
TCGA-BB-4223-01A	0.1780	0.2085	0.0000	0.0237	0.0975	0.0000	0.4451	0.1256	0.3290	0.1431	0.2645
TCGA-BB-4224-01A	1.4174	0.2075	0.0000	0.0652	0.3870	0.0000	0.0820	0.1154	0.0905	0.1414	1.2257
TCGA-BB-4225-01A	0.0672	0.0765	0.0000	0.0474	0.1205	0.0000	0.0000	0.0000	0.0000	0.0000	0.0853
TCGA-BB-4228-01A	0.0815	0.0991	0.0000	0.0247	0.0684	0.0000	0.0375	0.0308	0.0116	0.0259	0.1055
TCGA-CN-4722-01A	0.0498	0.0614	0.0225	0.0245	0.0000	0.0000	0.0423	0.1609	0.1287	0.0000	0.0904
TCGA-CN-4723-01A	1.0138	1.0695	0.0000	0.2613	0.7052	0.0000	1.2196	1.2988	1.3008	0.4585	1.4989
TCGA-CN-4725-01A	0.7641	0.5004	0.0370	0.2272	0.3999	0.0000	0.3090	0.5507	0.7249	0.2915	1.0488
TCGA-CN-4726-01A	2.2422	0.8982	0.0000	0.2869	0.6703	0.0000	0.8338	0.3598	0.9559	0.4411	2.3454
TCGA-CN-4727-01A	0.0318	0.0074	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0315
TCGA-CN-4728-01A	0.4171	0.3952	0.0000	0.0358	0.2341	0.0000	0.4470	0.0898	0.3260	0.1585	0.6367
TCGA-CN-4729-01A	0.2488	0.2430	0.0000	0.1467	0.0995	0.0000	0.1882	0.1456	0.3648	0.1624	0.4304
TCGA-CN-4730-01A	0.0566	0.0411	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0527	0.0000	0.0719
TCGA-CN-4731-01A	0.7757	0.9220	0.0000	0.2401	0.4212	0.0000	0.9434	0.7807	1.0088	0.3686	1.2639
TCGA-CN-4733-01A	0.8175	1.1234	0.0000	0.2222	0.8332	0.0000	1.1717	1.0214	1.6704	0.5075	1.4642
TCGA-CN-4734-01A	0.2324	0.3106	0.0000	0.1843	0.3439	0.0000	0.3702	0.3229	0.3212	0.1722	0.4016
TCGA-CN-4735-01A	17.3043	12.5359	0.0635	5.2824	10.8783	0.0123	12.0586	11.2570	12.2026	6.3552	20.8554
TCGA-CN-4736-01A	0.9666	0.7535	0.0000	0.3126	0.8086	0.0000	0.3965	0.4700	0.9485	0.6641	1.2395
TCGA-CN-4737-01A	1.3879	1.7740	0.0076	0.6465	1.4348	0.0000	2.3658	1.7815	1.8554	0.6807	2.3170
TCGA-CN-4738-01A	1.6913	2.1970	0.0946	0.9386	2.1407	0.0000	1.4424	2.0221	2.3367	0.9332	2.8121
TCGA-CN-4739-01A	0.1242	0.0782	0.0000	0.0263	0.1644	0.0000	0.0406	0.1011	0.0584	0.0300	0.1546
TCGA-CN-4740-01A	0.0315	0.0277	0.0000	0.0000	0.0463	0.0000	0.0749	0.0000	0.0534	0.0250	0.0464
TCGA-CN-4741-01A	0.7216	0.5987	0.0000	0.1733	0.4267	0.0000	0.6437	0.4998	0.5519	0.1496	0.8944
TCGA-CN-4742-01A	0.4529	0.9498	0.0228	0.3509	1.2781	0.0000	1.5388	0.8989	1.2896	0.5052	1.1622
TCGA-CN-5355-01A	0.8811	1.2208	0.0368	0.4993	0.8511	0.0000	0.7025	0.4477	0.9547	0.3885	1.4858
TCGA-CN-5356-01A	0.0329	0.0398	0.0000	0.0057	0.0306	0.0000	0.0651	0.0000	0.0101	0.0180	0.0511
TCGA-CN-5358-01A	0.0973	0.1472	0.0000	0.0805	0.1950	0.0000	0.3067	0.3253	0.2121	0.1540	0.1875
TCGA-CN-5359-01A	1.6631	2.0140	0.0109	0.7407	2.0938	0.0000	1.5615	1.9687	2.5034	0.8988	2.7336
TCGA-CN-5360-01A	0.9968	1.1682	0.0314	0.3452	1.3373	0.0000	1.5341	1.2505	1.1430	0.4094	1.5127
TCGA-CN-5361-01A	7.6038	5.7769	0.0324	2.3246	4.9110	0.0000	5.8762	6.3011	7.3626	2.6807	9.8845
TCGA-CN-5363-01A	7.0727	5.6122	0.0000	2.1404	3.6371	0.0000	4.2902	3.8810	5.2971	2.4175	9.2552
TCGA-CN-5364-01A	7.5279	6.5758	0.0851	2.2326	5.5928	0.0000	6.1189	6.1437	7.4104	2.8167	10.0418
TCGA-CN-5370-01A	1.9286	2.1309	0.0536	0.8646	2.0031	0.0078	2.3973	1.4802	2.2492	0.7094	2.7791
TCGA-CN-5373-01A	3.1807	4.2305	0.0707	1.8019	4.2294	0.0000	5.2777	4.1329	5.6932	2.1328	5.5153
TCGA-CN-5374-01A	0.0198	0.0141	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0232
TCGA-CN-6010-01A	1.4202	1.5878	0.0000	0.7494	1.2228	0.0000	1.1058	0.8849	2.0585	0.7048	2.1594
TCGA-CN-6011-01A	0.4714	0.5852	0.0000	0.3456	0.4767	0.0000	0.2579	0.3871	0.3461	0.1367	0.7569
TCGA-CN-6012-01A	1.3067	1.5121	0.0077	0.6683	1.1413	0.0000	1.0524	0.6862	1.1469	0.3135	1.9559
TCGA-CN-6013-01A	2.0783	2.6185	0.0073	0.8000	2.0738	0.0000	2.4261	2.3305	2.4161	1.2032	3.3202
TCGA-CN-6016-01A	2.1009	2.3189	0.0079	0.9268	1.8917	0.0000	2.4382	1.7797	2.1317	0.8575	3.0787
TCGA-CN-6018-01A	1.3356	1.7307	0.0000	0.6720	1.4821	0.0000	1.6222	0.9615	1.7325	0.8201	2.1705
TCGA-CN-6019-01A	1.4063	1.1139	0.0000	0.4206	0.9456	0.0000	1.4499	1.0230	1.4880	0.6396	1.8027
TCGA-CN-6021-01A	0.1485	0.1115	0.0000	0.0000	0.1205	0.0000	0.1787	0.1633	0.2198	0.0664	0.2112
TCGA-CN-6022-01A	1.0264	0.9706	0.0000	0.4620	1.1241	0.0000	1.2230	1.0559	0.7734	0.2470	1.4463
TCGA-CN-6023-01A	0.0560	0.0541	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0101	0.0771
TCGA-CN-6024-01A	1.3629	1.3664	0.0151	0.5508	1.0827	0.0000	1.1817	1.4193	1.8927	0.5918	2.0669
TCGA-CN-6988-01A	0.2362	0.1843	0.0000	0.0027	0.1490	0.0000	0.1416	0.2323	0.1035	0.0000	0.3237
TCGA-CN-6989-01A	4.9796	3.9413	0.0674	1.4326	3.5135	0.0098	3.5174	3.7008	4.8425	2.0201	6.6217
TCGA-CN-6992-01A	1.1242	1.0860	0.0208	0.2691	0.9646	0.0000	0.5160	0.9935	1.2534	0.4803	1.5498
TCGA-CN-6994-01A	11.8011	13.1325	0.0605	4.7000	13.0626	0.0000	16.3478	14.2983	15.4186	6.2230	18.8787
TCGA-CN-6995-01A	6.7241	4.0534	0.0000	1.6501	3.2892	0.0000	2.6053	2.7995	4.3741	2.0344	8.0233
TCGA-CN-6997-01A	2.3570	2.1190	0.0049	0.5204	1.5434	0.0000	1.6199	1.3918	1.8428	0.7184	3.1144
TCGA-CN-6998-01A	1.2524	0.8718	0.0000	0.2283	0.9055	0.0000	0.7497	0.6644	1.3083	0.5089	1.5640
TCGA-CQ-5323-01A	4.9757	5.6849	0.0212	2.0414	4.5786	0.0093	5.6772	5.3688	1.3900	0.5547	6.6950
TCGA-CQ-5324-01A	5.4019	5.8373	0.1996	2.2141	5.0974	0.0000	4.7009	4.5475	5.7061	2.1433	7.8964
TCGA-CQ-5325-01A	1.2556	1.0584	0.0000	0.4417	1.0946	0.0000	0.5346	0.5057	0.5013	0.4135	1.5987
TCGA-CQ-5326-01A	5.3711	5.4558	0.1528	2.2766	5.2125	0.0000	4.4908	5.6514	7.1704	2.6460	8.3149
TCGA-CQ-5329-01A	2.5510	2.6520	0.0412	1.1697	2.5018	0.0000	2.6325	2.1684	3.6502	1.4241	3.8629
TCGA-CQ-5330-01A	3.2177	2.6845	0.0102	1.3379	3.0892	0.0000	2.8576	2.6185	2.7475	1.3772	4.2695
TCGA-CQ-5331-01A	0.0095	0.0129	0.0000	0.0000	0.0338	0.0000	0.0365	0.0366	0.0428	0.0149	0.0526
TCGA-CQ-5332-01A	0.4450	0.4828	0.0000	0.1102	0.5419	0.0000	0.8297	0.4255	0.5742	0.1988	0.7139
TCGA-CQ-5334-01A	0.0190	0.0220	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0241
TCGA-CQ-6220-01A	0.7295	0.5791	0.0000	0.0673	0.7143	0.0000	0.6952	0.3175	1.1072	0.2621	1.0337
TCGA-CQ-6221-01A	0.0779	0.0706	0.0000	0.0000	0.0000	0.0000	0.0000	0.0500	0.1405	0.0356	0.0965
TCGA-CQ-6222-01A	0.3648	0.2476	0.0273	0.0284	0.0252	0.0000	0.0442	0.1770	0.2958	0.1093	0.4508
TCGA-CQ-6223-01A	1.6752	1.4664	0.0157	0.5033	1.2437	0.0228	1.4700	1.1214	1.0955	0.5310	2.2750
TCGA-CQ-6224-01A	0.8884	0.7504	0.0054	0.2188	0.5604	0.0000	0.5109	0.4007	0.6548	0.2970	1.1458
TCGA-CQ-7065-01A	2.3459	0.9567	0.0000	0.1825	0.6312	0.0000	0.9519	0.6111	0.7062	0.2856	2.3566
TCGA-CQ-7068-01A	0.1408	0.0972	0.0000	0.0000	0.0057	0.0000	0.0648	0.0340	0.1630	0.0852	0.1777
TCGA-CR-5243-01A	2.3811	2.3229	0.0063	0.6904	1.6946	0.0000	1.9955	1.8072	2.0949	0.5836	3.2042
TCGA-CR-5247-01A	0.1537	0.1120	0.0000	0.0964	0.0295	0.0000	0.0000	0.0000	0.0000	0.0000	0.1805
TCGA-CR-5248-01A	0.0168	0.0283	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0279
TCGA-CR-5249-01A	0.1438	0.1301	0.0000	0.0986	0.1557	0.0000	0.2031	0.1250	0.1186	0.0329	0.2120
TCGA-CR-5250-01A	0.5342	0.6277	0.0000	0.2434	0.2782	0.0000	0.5177	0.3245	0.3531	0.1641	0.7657
TCGA-CR-6467-01A	0.4720	0.3051	0.0000	0.0846	0.2565	0.0000	0.3194	0.2342	0.2571	0.0846	0.5200
TCGA-CR-6470-01A	0.0118	0.0219	0.0000	0.0000	0.0000	0.0000	0.0000	0.0485	0.0000	0.0000	0.0189
TCGA-CR-6471-01A	0.7387	0.6685	0.0000	0.2447	0.4358	0.0000	0.6272	0.3680	0.6519	0.4291	1.0167
TCGA-CR-6472-01A	0.0091	0.0071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0151
TCGA-CR-6473-01A	1.1728	0.9964	0.0000	0.3518	0.8801	0.0000	0.9687	0.7232	1.4012	0.5418	1.5652
TCGA-CR-6474-01A	7.3921	9.6897	0.1267	3.0498	7.1128	0.0266	8.7937	8.4377	10.4549	4.1440	13.3516
TCGA-CR-6477-01A	0.5849	0.6432	0.0000	0.1166	0.2586	0.0000	0.2618	0.3541	1.0074	0.2763	0.9011
TCGA-CR-6478-01A	1.4574	1.2168	0.0051	0.3223	0.9234	0.0045	0.8674	0.9558	1.6253	0.6860	1.9104
TCGA-CR-6480-01A	0.0783	0.0709	0.0150	0.0802	0.0384	0.0000	0.1745	0.0239	0.0737	0.0263	0.1173
TCGA-CR-6481-01A	0.0726	0.0562	0.0000	0.0000	0.0000	0.0000	0.1335	0.0398	0.0865	0.0237	0.0908
TCGA-CR-6482-01A	0.0458	0.0372	0.0000	0.0000	0.0570	0.0000	0.2262	0.0319	0.0195	0.0292	0.0587
TCGA-CR-6484-01A	0.2176	0.2113	0.0000	0.0636	0.0539	0.0000	0.0872	0.1839	0.1813	0.0891	0.3105
TCGA-CR-6487-01A	0.0021	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0462	0.0000	0.0079
TCGA-CR-6488-01A	4.5074	3.9219	0.0000	1.2850	3.1051	0.0000	3.3709	2.8743	2.9160	1.3662	5.9669
TCGA-CR-6491-01A	0.6407	0.7608	0.0000	0.2349	0.4829	0.0000	0.5303	0.5166	0.7300	0.4160	1.0223
TCGA-CR-6492-01A	2.0183	1.3045	0.0000	0.4414	0.9161	0.0000	0.9498	1.0574	1.2969	0.6374	2.3815
TCGA-CR-6493-01A	2.7470	3.1802	0.0342	1.3124	3.1900	0.0000	3.8857	3.2932	3.6541	1.4468	4.3265
TCGA-CR-7364-01A	0.4903	0.5539	0.0000	0.1368	0.5202	0.0000	0.3665	0.3336	0.5546	0.1815	0.7460
TCGA-CR-7365-01A	2.0196	2.1611	0.0290	0.5919	1.8710	0.0000	1.7969	1.7323	2.3639	0.9033	3.0799
TCGA-CR-7367-01A	0.5393	0.6380	0.0000	0.2076	0.4835	0.0000	0.4115	0.4823	0.6773	0.2571	0.9079
TCGA-CR-7368-01A	0.0855	0.1003	0.0000	0.0327	0.0494	0.0000	0.0994	0.1435	0.1389	0.0254	0.1323
TCGA-CR-7369-01A	1.1396	1.0513	0.0063	0.2678	0.5782	0.0000	1.0937	0.9932	1.3603	0.3219	1.5470
TCGA-CR-7370-01A	0.8072	0.9526	0.0060	0.3035	0.6023	0.0000	0.8257	0.7027	0.7425	0.3224	1.2022
TCGA-CR-7371-01A	3.2956	3.1215	0.0977	1.1554	2.9458	0.0057	2.6853	2.7078	5.5901	2.1102	5.3034
TCGA-CR-7372-01A	1.9719	1.9778	0.0000	0.6843	1.5176	0.0000	1.7730	1.6156	1.7234	0.9959	2.8890
TCGA-CR-7373-01A	2.5316	2.0151	0.0000	0.8971	1.8404	0.0000	1.3173	1.9958	2.1176	0.7789	3.1325
TCGA-CR-7374-01A	1.3564	1.1984	0.0000	0.4001	0.7698	0.0000	0.7462	1.1576	1.2347	0.8159	1.7457
TCGA-CR-7376-01A	1.3978	1.7994	0.0449	0.6248	1.8298	0.0049	1.3574	1.7712	1.8384	0.5174	2.1990
TCGA-CR-7377-01A	5.4727	5.5227	0.0364	1.6489	4.7721	0.0053	4.9553	4.1157	4.9023	2.0355	7.5938
TCGA-CR-7379-01A	0.3132	0.4449	0.0000	0.0479	0.2935	0.0000	0.3433	0.5313	0.8409	0.1376	0.5824
TCGA-CR-7380-01A	2.3927	3.0480	0.0339	0.6477	2.8469	0.0000	3.2909	3.4641	3.9500	1.2002	3.8433
TCGA-CR-7382-01A	0.0695	0.1109	0.0000	0.0364	0.0772	0.0000	0.2979	0.2388	0.1314	0.0799	0.1581
TCGA-CR-7383-01A	11.4961	2.6358	0.0063	0.7457	1.7026	0.0000	0.9455	1.2346	3.0876	1.2262	10.6090
TCGA-CR-7385-01A	0.0092	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0088
TCGA-CR-7386-01A	1.7331	1.6098	0.0252	0.6212	1.1848	0.0000	1.5172	1.9955	1.4775	0.5669	2.4133
TCGA-CR-7388-01A	1.3656	1.3988	0.0000	0.4362	0.9486	0.0000	1.0286	0.9953	1.4525	0.7065	1.9496
TCGA-CR-7389-01A	0.2920	0.2617	0.0000	0.1585	0.3151	0.0000	0.6386	0.4046	0.1598	0.0439	0.4325
TCGA-CR-7390-01A	1.7413	2.1765	0.0000	0.8275	2.3135	0.0000	2.5162	1.9441	2.3140	0.8720	2.8455
TCGA-CR-7391-01A	0.6897	0.8341	0.0711	0.3621	0.5992	0.0000	0.8685	0.7160	0.8670	0.2990	1.0553
TCGA-CR-7392-01A	1.3975	1.4822	0.0000	0.6969	1.0663	0.0000	1.1295	1.2890	1.4677	0.6960	2.0959
TCGA-CR-7393-01A	0.4882	0.5117	0.0000	0.1024	0.2271	0.0000	0.2092	0.2917	0.2529	0.2585	0.7080
TCGA-CR-7394-01A	0.3684	0.4082	0.0000	0.0451	0.3641	0.0000	0.3612	0.3610	0.4521	0.0422	0.5528
TCGA-CR-7395-01A	0.0565	0.0388	0.0000	0.0121	0.0688	0.0000	0.1443	0.0000	0.0000	0.0000	0.0734
TCGA-CR-7397-01A	0.5502	0.5746	0.0000	0.3039	0.8739	0.0000	0.7077	0.6528	0.5369	0.2437	0.8211
TCGA-CR-7398-01A	0.1322	0.1366	0.0000	0.0988	0.2045	0.0000	0.1147	0.1802	0.0999	0.0000	0.2214
TCGA-CR-7399-01A	8.1931	6.3351	0.1180	2.0648	5.3812	0.0000	6.5519	5.1911	6.7624	3.0881	10.5908
TCGA-CR-7401-01A	2.1126	1.3470	0.0000	0.2517	0.7934	0.0000	1.1958	0.6981	0.9046	0.5031	2.4323
TCGA-CR-7402-01A	0.2516	0.2555	0.0000	0.1014	0.2262	0.0000	0.1158	0.1351	0.3682	0.0943	0.3572
TCGA-CR-7404-01A	0.4546	0.3575	0.0000	0.1175	0.2456	0.0000	0.3174	0.2357	0.2817	0.0716	0.5469
TCGA-CV-5430-01A	0.4025	0.7171	0.0100	0.2476	0.3446	0.0000	0.3432	0.1644	0.3294	0.1893	0.6710
TCGA-CV-5431-01A	0.1167	0.0959	0.0000	0.0355	0.0602	0.0000	0.0000	0.0580	0.0631	0.0000	0.1539
TCGA-CV-5432-01A	1.5175	0.6987	0.0000	0.1657	0.3493	0.0000	0.3552	0.3434	0.7830	0.3987	1.6241
TCGA-CV-5434-01A	0.6164	0.5866	0.0000	0.1671	0.4170	0.0000	0.2791	0.2962	0.2933	0.2794	0.8412
TCGA-CV-5435-01A	8.1935	9.0739	0.0328	3.0729	9.0896	0.0072	9.1041	8.7061	9.6897	3.0414	12.1485
TCGA-CV-5436-01A	1.2404	0.8559	0.0323	0.2946	0.7721	0.0000	0.4099	0.8097	0.6506	0.3046	1.5029
TCGA-CV-5439-01A	1.4537	1.0493	0.0071	0.3586	0.5736	0.0000	0.6056	0.6315	1.3025	0.4948	1.8600
TCGA-CV-5440-01A	5.3471	3.8067	0.0091	1.2081	4.0097	0.0080	3.5028	3.1208	2.8464	1.4760	6.5051
TCGA-CV-5441-01A	0.0186	0.0232	0.0000	0.0720	0.1093	0.0000	0.0206	0.0588	0.0000	0.0000	0.0284
TCGA-CV-5442-01A	0.0097	0.0320	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0287	0.0207	0.0235
TCGA-CV-5443-01A	0.3829	0.1351	0.0000	0.0447	0.2780	0.0000	0.0485	0.1415	0.0795	0.0000	0.4013
TCGA-CV-5444-01A	0.8079	0.5423	0.0000	0.2787	0.4666	0.0000	1.0843	0.8989	0.7468	0.2279	1.0375
TCGA-CV-5966-01A	0.2658	0.1787	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3135
TCGA-CV-5970-01A	4.5034	3.6922	0.0214	1.5249	3.2791	0.0000	3.7191	3.7960	3.6078	1.4422	5.9399
TCGA-CV-5971-01A	0.2878	0.1595	0.0342	0.1557	0.2684	0.0000	0.0605	0.1688	0.2277	0.0778	0.3385
TCGA-CV-5973-01A	2.5048	0.1520	0.0000	0.0000	0.0000	0.0000	0.0355	0.0386	0.0488	0.0456	2.0498
TCGA-CV-5976-01A	5.0446	3.0709	0.0367	1.1615	2.2047	0.0054	3.1373	2.5837	2.5232	1.0710	5.8040
TCGA-CV-5977-01A	0.7821	0.2534	0.1249	0.0354	0.3390	0.0000	0.5199	0.1157	0.2674	0.0470	0.7859
TCGA-CV-5978-01A	0.6275	0.4330	0.0000	0.2246	0.3789	0.0000	0.6156	0.3495	0.5984	0.1129	0.7649
TCGA-CV-5979-01A	4.7315	3.0079	0.0457	0.6374	2.2520	0.0000	2.9927	2.0775	3.6853	1.0885	5.5411
TCGA-CV-6003-01A	1.1628	0.5371	0.0000	0.0596	0.5660	0.0861	0.4764	0.5371	1.1036	0.2898	1.3301
TCGA-CV-6433-01A	0.0267	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0226
TCGA-CV-6436-01A	0.0591	0.0097	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0930	0.0000	0.0579
TCGA-CV-6441-01A	0.0182	0.0195	0.0000	0.0000	0.0000	0.0000	0.0000	0.0348	0.0783	0.0051	0.0278
TCGA-CV-6933-01A	1.8986	1.1652	0.0000	0.3618	1.0797	0.0045	0.6027	0.9887	1.7801	0.8864	2.3611
TCGA-CV-6933-11A	3.6250	3.2572	0.0214	1.2960	3.0776	0.0038	2.9695	2.7797	3.4249	1.5685	4.8589
TCGA-CV-6934-01A	3.8707	2.8320	0.0182	1.1526	2.4947	0.0000	2.3566	1.7507	2.2780	1.0287	4.7045
TCGA-CV-6934-11A	2.4380	2.2578	0.0000	0.5975	1.9449	0.0249	1.8025	1.6182	2.1643	1.0275	3.2504
TCGA-CV-6935-01A	1.6804	1.4201	0.0000	0.4665	1.2300	0.0000	1.0698	0.9900	0.8971	0.3172	2.1131
TCGA-CV-6935-11A	0.1636	0.1832	0.0000	0.1532	0.0433	0.0000	0.2070	0.0382	0.1483	0.1764	0.2747
TCGA-CV-6936-01A	1.7374	1.2458	0.0000	0.4594	1.1200	0.0000	0.9996	1.2462	1.7193	0.7309	2.2606
TCGA-CV-6936-11A	0.1024	0.0743	0.0358	0.0102	0.0316	0.0000	0.1423	0.0894	0.0100	0.0736	0.1363
TCGA-CV-6937-01A	9.2947	4.0267	0.0000	0.8776	3.1166	0.0000	1.9066	2.4114	1.8674	0.7453	9.4352
TCGA-CV-6942-01A	0.4201	0.2628	0.0000	0.0838	0.2472	0.0000	0.2513	0.4619	0.5351	0.0582	0.4827
TCGA-CV-6943-01A	1.0169	1.0180	0.0000	0.2492	0.9451	0.0000	0.8212	0.9941	0.9142	0.4384	1.4517
TCGA-CV-6945-01A	12.2203	3.0567	0.0356	0.8503	1.6519	0.0000	1.7416	1.9052	2.1934	0.7940	11.2378
TCGA-CV-6948-01A	0.2792	0.1158	0.0000	0.0793	0.1227	0.0000	0.0661	0.1674	0.1294	0.0707	0.2969
TCGA-CV-6950-01A	2.6870	2.0434	0.0189	0.6749	1.8395	0.0000	2.1329	1.9581	1.7578	0.9221	3.5488
TCGA-CV-6956-01A	0.5174	0.3107	0.0000	0.0403	0.3001	0.0000	0.7147	0.5244	0.6144	0.2611	0.6618
TCGA-CV-6956-11A	0.0273	0.0422	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0677	0.0000	0.0450
TCGA-CV-6959-01A	2.2135	2.7174	0.0259	0.9372	2.3627	0.0000	2.6358	2.7005	2.5118	1.0204	3.5224
TCGA-CV-6960-01A	3.7877	2.6112	0.0000	0.8752	1.6511	0.0000	1.9792	1.7552	2.9181	1.5187	4.9720
TCGA-CV-6960-11A	0.1982	0.2282	0.0000	0.0393	0.1345	0.0000	0.1502	0.1402	0.2702	0.1344	0.3260
TCGA-CV-6961-01A	2.1765	2.2317	0.0049	0.6029	1.9492	0.0000	2.1885	1.4788	2.0322	0.6953	3.1177
TCGA-CV-6961-11A	0.1974	0.2077	0.0000	0.0185	0.0648	0.0000	0.1193	0.1614	0.1546	0.0571	0.2992
TCGA-CV-6962-01A	1.2828	1.2074	0.0000	0.2072	0.7800	0.0000	1.2539	1.3460	0.9471	0.4824	1.7900
TCGA-CV-6962-11A	0.7507	0.7376	0.0000	0.2718	0.4751	0.0000	0.4632	0.5010	0.8114	0.4074	1.0723
TCGA-CV-7089-01A	1.0353	0.5284	0.0000	0.1328	0.5932	0.0000	0.4248	0.2696	0.6557	0.3515	1.1898
TCGA-CV-7090-01A	0.2804	0.2595	0.0000	0.1467	0.2864	0.0000	0.2122	0.2200	0.3068	0.1572	0.4127
TCGA-CV-7091-01A	1.4140	1.0958	0.0000	0.4362	0.5491	0.0000	0.9286	1.0196	1.1630	0.4852	1.8544
TCGA-CV-7091-11A	0.1901	0.2046	0.0000	0.0348	0.1063	0.0000	0.0674	0.0415	0.1054	0.0371	0.2541
TCGA-CV-7095-01A	1.9006	1.6949	0.0000	0.4242	1.2865	0.0000	1.6583	1.8416	1.4880	0.6282	2.5565
TCGA-CV-7097-01A	0.2444	0.3714	0.0000	0.0978	0.4866	0.0000	0.5124	0.2523	0.3754	0.0620	0.4488
TCGA-CV-7097-11A	1.8839	1.2028	0.0000	0.4267	1.2786	0.0000	1.5708	1.2826	1.2899	0.5476	2.2425
