HOMERcalled.RefSeq.ID,SH.1.promoter.count,SH.1.promoter.50bp,SH.1.promoter.density,SH.1.promoter.StartSite,SH.1.body.count,SH.1.mappable.length,SH.1.body.density,SH.1.body.StartSite,SH.1.pausing.ratio,SH.2.promoter.count,SH.2.promoter.50bp,SH.2.promoter.density,SH.2.promoter.StartSite,SH.2.body.count,SH.2.mappable.length,SH.2.body.density,SH.2.body.StartSite,SH.2.pausing.ratio,SH-1-Pausing-pValue,SH-2-Pausing-pValue,SH-1-2-Change-pValue,,,
NM_010448,516,50,10.32,51420353,492,5320,0.092481203,51419383,111.5902439,320,50,6.4,51420353,567,5450,0.104036697,51419383,61.51675485,6.52E-175,9.40E-96,2.22E-08,,,
NM_008679,464,50,9.28,165818157,1460,45010,0.032437236,165819137,286.0909589,290,50,5.8,165818157,706,26818,0.026325602,165819137,220.317847,7.53E-147,1.03E-91,0.074871657,,,
NM_008503,584,50,11.68,24857053,73,646,0.113003096,24858008,103.36,287,50,5.74,24857053,80,598,0.133779264,24858008,42.9065,2.19E-220,6.49E-90,0.000663255,,,
NM_011543,342,50,6.84,52045537,274,7324,0.037411251,52046497,182.8327007,252,50,5.04,52045532,172,5263,0.03268098,52046497,154.2181395,4.34E-122,7.91E-90,0.766166852,,,
NM_145404,441,50,8.82,108734919,289,13091,0.022076236,108735954,399.5246367,254,50,5.08,108734919,249,11229,0.022174726,108735954,229.0896386,1.59E-166,4.47E-89,0.023875988,,,
NM_001111043,558,50,11.16,106501629,999,6558,0.152333028,106500749,73.26054054,319,50,6.38,106501629,958,6574,0.145725586,106500749,43.78091858,1.35E-170,1.09E-87,1.72E-07,,,
NM_001111044,558,50,11.16,106501629,999,6558,0.152333028,106500749,73.26054054,319,50,6.38,106501629,958,6574,0.145725586,106500749,43.78091858,1.35E-170,1.09E-87,1.72E-07,,,
NM_009825,558,50,11.16,106501629,999,6558,0.152333028,106500749,73.26054054,319,50,6.38,106501629,958,6574,0.145725586,106500749,43.78091858,1.35E-170,1.09E-87,1.72E-07,,,
NM_013490,509,50,10.18,3851833,408,16357,0.024943449,3852773,408.1231863,264,50,5.28,3851833,425,15369,0.027653068,3852773,190.9372235,2.11E-187,6.65E-87,6.16E-09,,,
NM_001081005,489,50,9.78,166888714,354,1752,0.202054795,166889434,48.40271186,329,50,6.58,166888709,452,1740,0.259770115,166889434,25.3300885,1.74E-153,6.38E-86,8.14E-08,,,
NM_001123037,528,50,10.56,23107827,952,4423,0.215238526,23108552,49.06184874,315,50,6.3,23107827,776,4357,0.1781042,23108552,35.37255155,1.17E-153,1.03E-85,0.013063809,,,
NM_001123038,528,50,10.56,23107827,952,4423,0.215238526,23108552,49.06184874,315,50,6.3,23107827,776,4357,0.1781042,23108552,35.37255155,1.17E-153,1.03E-85,0.013063809,,,
NM_013506,528,50,10.56,23107827,952,4423,0.215238526,23108552,49.06184874,315,50,6.3,23107827,776,4357,0.1781042,23108552,35.37255155,1.17E-153,1.03E-85,0.013063809,,,
NM_011760,249,50,4.98,21560201,54,2347,0.023008095,21561191,216.4455556,210,50,4.2,21560201,52,2603,0.01997695,21561191,210.2423077,2.36E-103,4.51E-85,1,,,
NR_027987,269,50,5.38,27504642,19,849,0.02237927,27505527,240.4010526,213,50,4.26,27504637,16,598,0.026755853,27505527,159.2175,7.84E-115,8.18E-84,1,,,
NM_175652,521,50,10.42,136752942,38,862,0.044083527,136751952,236.3694737,245,50,4.9,136752942,50,582,0.085910653,136751952,57.036,2.66E-222,6.64E-82,0.000788588,,,
NM_008258,365,50,7.3,115375709,267,8041,0.033204825,115374684,219.8475655,240,50,4.8,115375704,248,7590,0.032674572,115374684,146.9032258,1.09E-132,1.32E-81,0.085459897,,,
NM_020507,652,50,13.04,81688711,409,6755,0.060547742,81687756,215.3672372,247,50,4.94,81688711,288,6221,0.046294808,81687756,106.7074306,9.54E-242,3.82E-81,1.68E-06,,,
NM_008495,475,50,9.5,78757155,566,2545,0.222396857,78758155,42.7164311,302,50,6.04,78757150,526,2473,0.212697129,78758155,28.39718631,2.57E-140,1.80E-80,0.004671636,,,
NM_001163004,281,50,5.62,34569072,16,675,0.023703704,34570077,237.09375,206,50,4.12,34569047,9,418,0.0215311,34570077,191.3511111,1.44E-118,1.43E-79,1,,,
NM_016927,281,50,5.62,34569072,16,675,0.023703704,34570077,237.09375,206,50,4.12,34569047,9,418,0.0215311,34570077,191.3511111,1.44E-118,1.43E-79,1,,,
NM_027560,416,50,8.32,73363439,47,1496,0.031417112,73362619,264.8238298,203,50,4.06,73363444,19,638,0.029780564,73362619,136.3305263,2.95E-181,4.30E-79,1,,,
NM_008654,358,50,7.16,52781598,87,1715,0.050728863,52780638,141.1425287,228,50,4.56,52781608,88,1437,0.061238692,52780638,74.46272727,2.92E-140,7.51E-79,0.130161922,,,
NM_023434,331,50,6.62,52899271,216,6067,0.035602439,52899821,185.9423148,217,50,4.34,52899256,123,4284,0.028711485,52899821,151.1590244,1.02E-121,9.80E-79,0.904967399,,,
NM_029767,454,50,9.08,3655633,136,1703,0.079859072,3656643,113.7002941,258,50,5.16,3655638,194,1600,0.12125,3656643,42.55670103,1.96E-171,8.64E-78,9.25E-09,,,
NR_038027,196,50,3.92,12642475,6,242,0.024793388,12641925,158.1066667,218,50,4.36,12642480,7,264,0.026515152,12641925,164.4342857,9.72E-67,6.52E-76,1,,,
NR_038028,196,50,3.92,12642475,6,242,0.024793388,12641925,158.1066667,218,50,4.36,12642480,7,264,0.026515152,12641925,164.4342857,9.72E-67,6.52E-76,1,,,
NM_015804,374,50,7.48,12757376,1060,44203,0.023980273,12758016,311.9230566,241,50,4.82,12757376,783,35126,0.02229118,12758016,216.2290166,1.58E-118,1.98E-75,0.658099745,,,
NM_025880,366,50,7.32,51502157,126,2633,0.047854159,51503092,152.9647619,214,50,4.28,51502157,116,2818,0.041163946,51503092,103.9744828,1.46E-141,3.38E-75,0.076398566,,,
NM_009716,262,50,5.24,80085924,563,1358,0.414580265,80086614,12.63928952,322,50,6.44,80085924,510,1358,0.375552283,80086614,17.14807843,4.05E-55,9.51E-75,0.069017079,,,
NM_021510,455,50,9.1,50191266,780,6556,0.118974985,50192221,76.48666667,256,50,5.12,50191266,589,5858,0.100546262,50192221,50.92183362,6.38E-141,1.80E-73,0.051557728,,,
NM_007737,195,50,3.9,45559917,5121,88703,0.057731982,45559127,67.55354423,269,50,5.38,45559677,6662,92201,0.072255182,45559127,74.45832783,4.81E-53,5.15E-73,1,,,
NM_178376,358,50,7.16,86221607,16,449,0.035634744,86222577,200.9275,214,50,4.28,86221602,13,301,0.043189369,86222577,99.09846154,4.37E-142,5.70E-73,0.962638392,,,
NR_015573,184,50,3.68,118266219,55,1590,0.034591195,118265189,106.3854545,192,50,3.84,118266219,41,1171,0.03501281,118265189,109.6741463,4.06E-69,3.37E-72,0.68121607,,,
NM_021313,344,50,6.88,74647971,144,3845,0.037451235,74646971,183.7055556,194,50,3.88,74647971,80,2956,0.027063599,74646971,143.366,1.09E-132,6.80E-72,1,,,
NM_007742,279,50,5.58,94797794,5458,14569,0.374631066,94798584,14.89465372,340,50,6.8,94797794,6717,14568,0.461079077,94798584,14.74801251,4.02E-59,7.03E-72,1,,,
NM_007475,286,50,5.72,116009516,183,2372,0.077150084,116010476,74.14120219,224,50,4.48,116009521,181,2553,0.070896984,116010476,63.19027624,9.39E-96,1.58E-71,0.525497148,,,
NR_003270,266,50,5.32,131909561,55,690,0.079710145,131908601,66.74181818,226,50,4.52,131909561,70,706,0.099150142,131908601,45.58742857,3.38E-92,2.43E-71,0.354789575,,,
NM_013642,694,50,13.88,26645422,536,1882,0.284803401,26644417,48.73537313,251,50,5.02,26645422,264,1783,0.148065059,26644417,33.90401515,2.14E-216,3.63E-71,0.074918136,,,
NM_001163818,541,50,10.82,36053926,3325,10685,0.311183903,36055141,34.77043609,287,50,5.74,36053926,2218,10298,0.215381628,36055141,26.6503697,5.38E-141,1.17E-70,0.068209283,,,
NM_175934,541,50,10.82,36053926,3564,10970,0.324886053,36054856,33.30398429,287,50,5.74,36053926,2336,10583,0.220731362,36054856,26.00446062,2.62E-139,1.70E-70,0.113991237,,,
NM_019764,586,50,11.72,102620129,2791,14022,0.199044359,102621134,58.88134719,273,50,5.46,102620129,2647,14145,0.187133263,102621134,29.17706838,8.06E-165,4.09E-68,2.50E-17,,,
NM_009266,413,50,8.26,134417573,33,806,0.040942928,134416573,201.7442424,192,50,3.84,134417573,31,621,0.049919485,134416573,76.92387097,1.13E-172,1.47E-67,0.152919727,,,
NM_001205287,268,50,5.36,38562972,793,18347,0.043222325,38563927,124.0099874,222,50,4.44,38562972,590,14655,0.040259297,38563927,110.2850847,1.04E-81,4.84E-67,0.864361404,,,
NM_026407,268,50,5.36,38562972,793,18347,0.043222325,38563927,124.0099874,222,50,4.44,38562972,590,14655,0.040259297,38563927,110.2850847,1.04E-81,4.84E-67,0.864361404,,,
NM_009790,482,50,9.64,101437736,682,8112,0.084072978,101438751,114.6622874,231,50,4.62,101437736,603,7528,0.080100956,101438751,57.67721393,8.31E-157,8.39E-66,1.07E-07,,,
NR_024068,205,50,4.1,26495764,222,2066,0.107454017,26494764,38.15585586,221,50,4.42,26495764,222,2005,0.110723192,26494764,39.91936937,9.09E-60,1.73E-64,1,,,
NM_134024,117,50,2.34,100981435,58,1777,0.03263928,100982445,71.69275862,166,50,3.32,100981440,44,1692,0.026004728,100982445,127.6690909,8.74E-40,1.69E-63,0.122031054,,,
NM_009357,226,50,4.52,83725746,78,2327,0.033519553,83724806,134.8466667,167,50,3.34,83725746,56,2298,0.024369017,83724806,137.0592857,1.64E-86,6.82E-63,1,,,
NM_152804,314,50,6.28,111185252,557,4412,0.1262466,111186252,49.74391382,260,50,5.2,111185252,1128,4674,0.241335045,111186252,21.54680851,1.46E-91,7.92E-62,1.88E-16,,,
NM_178776,189,50,3.78,136776959,14,815,0.017177914,136778364,220.05,168,50,3.36,136776964,10,401,0.024937656,136778364,134.736,3.32E-79,9.43E-62,1,,,
NM_008193,209,50,4.18,59005294,55,2563,0.021459227,59004454,194.788,160,50,3.2,59005294,45,2072,0.021718147,59004454,147.3422222,2.79E-84,1.18E-61,1,,,
NM_016810,293,50,5.86,76577072,601,19451,0.030898154,76576057,189.6553411,195,50,3.9,76577072,390,13448,0.029000595,76576057,134.48,8.99E-95,1.60E-61,1,,,
NM_011014,203,50,4.06,41688201,39,1233,0.03163017,41687186,128.3584615,158,50,3.16,41688201,35,1371,0.025528811,41687186,123.7817143,5.52E-80,1.99E-60,1,,,
NM_009201,343,50,6.86,17366715,238,8528,0.027908068,17367695,245.8070588,181,50,3.62,17366715,192,6218,0.030878096,17367695,117.2352083,5.35E-127,6.03E-60,0.044454443,,,
NM_029295,328,50,6.56,106774828,60,2717,0.02208318,106775803,297.0586667,160,50,3.2,106774828,63,2429,0.025936599,106775803,123.3777778,3.58E-141,9.19E-60,0.010595361,,,
NM_009930,371,50,7.42,45368473,3538,31954,0.110721662,45369383,67.01488977,226,50,4.52,45368468,2936,30125,0.097460581,45369383,46.3777248,5.67E-103,9.49E-60,0.016789741,,,
NM_133779,168,50,3.36,164323055,83,3443,0.024106884,164324025,139.3792771,155,50,3.1,164323055,50,2301,0.021729683,164324025,142.662,3.12E-61,1.36E-59,0.369226057,,,
NM_012052,282,50,5.64,106632169,409,4297,0.095182686,106631219,59.25447433,214,50,4.28,106632164,445,4248,0.104755179,106631219,40.85716854,1.22E-85,2.47E-59,0.041398897,,,
NM_010422,13,50,0.26,97968287,14873,7158,2.077815032,97967312,0.125131446,7,50,0.14,97968322,23420,4879,4.800163968,97967312,0.02916567,8.38E-18,3.18E-59,0.222065015,,,
NM_001037841,325,50,6.5,106774827,74,3294,0.022465088,106775832,289.3378378,159,50,3.18,106774822,65,2593,0.025067489,106775832,126.8575385,4.17E-137,5.34E-59,0.071761603,,,
NM_028287,266,50,5.32,33671038,339,10159,0.033369426,33670018,159.4273746,179,50,3.58,33671048,198,7084,0.027950311,33670018,128.0844444,6.34E-89,6.87E-59,0.843849155,,,
NM_027189,169,50,3.38,20158692,213,5513,0.038635951,20157692,87.48328638,179,50,3.58,20158697,169,4476,0.037756926,20157692,94.81704142,8.62E-55,8.51E-59,0.3920454,,,
NM_173445,121,50,2.42,87469015,50,2562,0.019516003,87468340,124.0008,155,50,3.1,87469015,50,2074,0.024108004,87468340,128.588,3.06E-45,3.29E-58,0.845449003,,,
NM_026113,232,50,4.64,39977476,57,2507,0.022736338,39976471,204.0785965,151,50,3.02,39977476,41,1978,0.020728008,39976471,145.6965854,6.63E-94,4.24E-58,1,,,
NM_133879,272,50,5.44,151401760,60,2964,0.020242915,151400780,268.736,157,50,3.14,151401780,72,2916,0.024691358,151400780,127.17,1.40E-113,4.39E-57,0.015357838,,,
NM_026615,171,50,3.42,29682904,156,6559,0.023784113,29683909,143.7934615,162,50,3.24,29682909,122,5561,0.0219385,29683909,147.6855738,1.15E-59,6.13E-56,0.805692646,,,
NR_045558,219,50,4.38,120314072,240,8776,0.027347311,120313387,160.162,175,50,3.5,120314072,283,8181,0.034592348,120313387,101.1784452,9.07E-74,1.36E-54,0.079952253,,,
NM_174849,244,50,4.88,31190835,59,2564,0.02301092,31192225,212.0732203,141,50,2.82,31190835,41,2016,0.020337302,31192225,138.6614634,1.88E-99,1.65E-54,0.949548443,,,
NM_001081255,478,50,9.56,32914206,969,36547,0.026513804,32915186,360.5668937,185,50,3.7,32914206,795,29786,0.026690391,32915186,138.6266667,1.04E-157,2.14E-54,9.23E-12,,,
NM_001190473,177,50,3.54,80645518,354,5888,0.060122283,80647008,58.88,171,50,3.42,80645748,209,4382,0.047695116,80647008,71.70545455,5.19E-53,8.70E-54,0.016789741,,,
NM_001190474,182,50,3.64,80645522,359,5985,0.059983292,80646752,60.68356546,171,50,3.42,80645752,215,4524,0.047524315,80646752,71.96316279,9.43E-55,1.42E-53,0.035423401,,,
NM_001146012,157,50,3.14,70107352,124,3757,0.033005057,70106387,95.13693548,157,50,3.14,70107352,109,3673,0.029676014,70106387,105.8093578,1.01E-52,2.64E-53,0.988156819,,,
NM_022891,197,50,3.94,97643703,355,3328,0.106670673,97642753,36.93611268,194,50,3.88,97643703,392,3422,0.114552893,97642753,33.87081633,2.85E-55,4.84E-53,0.922636891,,,
NM_010591,283,50,5.66,94718898,297,2013,0.147540984,94717913,38.36222222,191,50,3.82,94718913,249,2066,0.120522749,94717913,31.69526104,1.10E-82,6.18E-53,0.527113106,,,
NM_028696,510,50,10.2,51535243,240,5274,0.045506257,51534243,224.145,177,50,3.54,51535243,290,4858,0.059695348,51534243,59.30110345,2.18E-196,1.98E-52,2.14E-21,,,
NM_028127,293,50,5.86,71926486,2797,54494,0.051326752,71927501,114.1704827,191,50,3.82,71926486,2264,47921,0.047244423,71927501,80.85610424,5.83E-84,3.18E-52,0.261503227,,,
NR_002896,348,50,6.96,8797972,373,1816,0.205396476,8798977,33.88568365,218,50,4.36,8797972,409,1823,0.224355458,8798977,19.43344743,2.26E-99,3.99E-52,9.93E-05,,,
NM_001190322,345,50,6.9,3866056,58,1446,0.04011065,3867061,172.0241379,144,50,2.88,3866056,36,1036,0.034749035,3867061,82.88,5.56E-142,4.86E-52,0.558671846,,,
NM_181391,345,50,6.9,3866056,58,1446,0.04011065,3867061,172.0241379,144,50,2.88,3866056,36,1036,0.034749035,3867061,82.88,5.56E-142,4.86E-52,0.558671846,,,
NM_018860,371,50,7.42,127986174,12,59,0.203389831,127985224,36.48166667,315,50,6.3,127986174,9,59,0.152542373,127985224,41.3,1.24E-60,4.97E-52,1,,,
NM_007907,451,50,9.02,80639381,552,4150,0.133012048,80640376,67.8134058,193,50,3.86,80639386,443,3715,0.119246299,80640376,32.36997743,1.65E-141,5.66E-52,8.11E-07,,,
NM_026277,184,50,3.68,109948938,169,5915,0.028571429,109947938,128.8,157,50,3.14,109948943,156,5726,0.027244149,109947938,115.2541026,8.57E-63,8.08E-52,1,,,
NM_199302,225,50,4.5,32817150,410,15229,0.026922319,32815775,167.147561,159,50,3.18,32817145,226,9998,0.022604521,32815775,140.679823,8.57E-73,1.72E-51,0.421666214,,,
NM_145552,204,50,4.08,124707263,331,11549,0.02866049,124708258,142.3562538,161,50,3.22,124707263,287,9509,0.030181933,124708258,106.6863415,1.41E-66,9.30E-51,0.996540778,,,
NM_028101,179,50,3.58,25966013,32,976,0.032786885,25966988,109.19,134,50,2.68,25966013,17,718,0.02367688,25966988,113.1905882,1.02E-68,1.44E-50,0.899086697,,,
NM_029886,187,50,3.74,144602139,74,4514,0.016393443,144601439,228.14,134,50,2.68,144602139,44,2141,0.020551144,144601439,130.4063636,6.74E-73,1.64E-50,0.967117982,,,
NM_011638,239,50,4.78,32609057,97,3927,0.024700789,32609982,193.5160825,148,50,2.96,32609067,115,4481,0.025663914,32609982,115.3370435,1.11E-92,2.02E-50,0.009998359,,,
NM_001190323,345,50,6.9,3866055,60,1472,0.04076087,3867035,169.28,141,50,2.82,3866055,38,1055,0.036018957,3867035,78.29210526,2.46E-141,3.89E-50,0.446463449,,,
NM_001190324,345,50,6.9,3866055,60,1472,0.04076087,3867035,169.28,141,50,2.82,3866055,38,1055,0.036018957,3867035,78.29210526,2.46E-141,3.89E-50,0.446463449,,,
NM_009010,146,50,2.92,87364555,160,3431,0.046633635,87363540,62.61575,148,50,2.96,87364555,102,3003,0.033966034,87363540,87.14588235,2.64E-46,5.60E-50,0.125560293,,,
NM_025821,432,50,8.64,8672251,436,9669,0.045092564,8671246,191.6058716,165,50,3.3,8672251,329,7592,0.04333509,8671246,76.15075988,4.80E-151,5.75E-50,1.12E-06,,,
NM_009156,242,50,4.84,16507695,290,3486,0.083189902,16506720,58.18013793,163,50,3.26,16507700,192,3445,0.055732946,16506720,58.49322917,6.18E-74,5.83E-50,1,,,
NM_001083120,77,50,1.54,183949916,1593,52901,0.030112852,183949111,51.14095417,176,50,3.52,183949916,1562,48327,0.032321477,183949111,108.9059155,3.38E-20,1.01E-49,1.75E-07,,,
NM_001083121,77,50,1.54,183949916,1593,52901,0.030112852,183949111,51.14095417,176,50,3.52,183949916,1562,48327,0.032321477,183949111,108.9059155,3.38E-20,1.01E-49,1.75E-07,,,
NM_008680,77,50,1.54,183949916,1593,52901,0.030112852,183949111,51.14095417,176,50,3.52,183949916,1562,48327,0.032321477,183949111,108.9059155,3.38E-20,1.01E-49,1.75E-07,,,
NM_010135,77,50,1.54,183949916,1593,52901,0.030112852,183949111,51.14095417,176,50,3.52,183949916,1562,48327,0.032321477,183949111,108.9059155,3.38E-20,1.01E-49,1.75E-07,,,
NM_001048192,234,50,4.68,31190879,118,5817,0.02028537,31192379,230.7081356,138,50,2.76,31190879,73,3595,0.020305981,31192379,135.9205479,3.87E-89,1.11E-49,1,,,
NM_016698,258,50,5.16,115722884,735,17624,0.041704494,115721904,123.7276735,166,50,3.32,115722879,562,15767,0.035644067,115721904,93.14313167,1.02E-78,2.65E-49,0.625367792,,,
NM_019472,271,50,5.42,25552325,4858,124187,0.039118426,25553305,138.5536311,178,50,3.56,25552325,3779,106459,0.035497234,25553305,100.2895052,1.27E-77,3.31E-49,0.493182976,,,
NM_009735,323,50,6.46,121973418,319,3926,0.081253184,121974423,79.5045768,152,50,3.04,121973418,125,2864,0.043645251,121974423,69.65248,2.98E-105,9.35E-49,0.761350554,,,
NR_015531,212,50,4.24,74489143,6,41,0.146341463,74490108,28.97333333,157,50,3.14,74489138,10,241,0.041493776,74490108,75.674,5.24E-27,1.12E-48,0.597120418,,,
NM_198169,225,50,4.5,181022346,538,16921,0.031794811,181021671,141.5325279,159,50,3.18,181022351,371,13681,0.027117901,181021671,117.2657143,9.16E-71,1.13E-48,1,,,
NM_009091,211,50,4.22,79755201,39,385,0.101298701,79756176,41.65897436,169,50,3.38,79755201,44,430,0.102325581,79756176,33.03181818,8.63E-64,1.43E-48,0.698764391,,,
