HOMERcalled.RefSeq.ID,SH.1.promoter.count,SH.1.promoter.50bp,SH.1.promoter.density,SH.1.promoter.StartSite,SH.1.body.count,SH.1.mapped.length,SH.1.body.density,SH.1.body.StartSite,SH.1.pausing.ratio,SH.2.promoter.count,SH.2.promoter.50bp,SH.2.promoter.density,SH.2.promoter.StartSite,SH.2.body.count,SH.2.mapped.length,SH.2.body.density,SH.2.body.StartSite,SH.2.pausing.ratio,SH-1-Pausing-pValue,SH-2-Pausing-pValue,SH-1-2-Change-pValue
NM_001130169,910,50,18.2,80196831,2592,10325,0.251041162,80197781,72.49807099,934,50,18.68,80196821,2467,10482,0.235355848,80197781,79.36917714,4.10E-270,3.06E-281,0.48981428
NM_001130170,910,50,18.2,80196831,2592,10325,0.251041162,80197781,72.49807099,934,50,18.68,80196821,2467,10482,0.235355848,80197781,79.36917714,4.10E-270,3.06E-281,0.48981428
NM_001130171,910,50,18.2,80196831,2592,10325,0.251041162,80197781,72.49807099,934,50,18.68,80196821,2467,10482,0.235355848,80197781,79.36917714,4.10E-270,3.06E-281,0.48981428
NM_011751,910,50,18.2,80196831,2592,10325,0.251041162,80197781,72.49807099,934,50,18.68,80196821,2467,10482,0.235355848,80197781,79.36917714,4.10E-270,3.06E-281,0.48981428
NM_001190323,787,50,15.74,3866055,404,3099,0.130364634,3867035,120.7382673,756,50,15.12,3866055,380,3088,0.123056995,3867035,122.8698947,1.65E-287,2.00E-277,0.993894659
NM_001190324,787,50,15.74,3866055,404,3099,0.130364634,3867035,120.7382673,756,50,15.12,3866055,380,3088,0.123056995,3867035,122.8698947,1.65E-287,2.00E-277,0.993894659
NM_001038663,1519,50,30.38,16983510,4375,40440,0.108184965,16984475,280.81536,903,50,18.06,16983510,4166,40815,0.102070317,16984475,176.9368459,0,7.08E-276,6.12E-21
NM_011949,1519,50,30.38,16983510,5047,46882,0.107653257,16984475,282.2023301,903,50,18.06,16983510,4820,47580,0.101303069,16984475,178.2769295,0,1.59E-273,7.81E-22
NM_008321,816,50,16.32,135699732,100,532,0.187969925,135700737,86.8224,833,50,16.66,135699732,191,571,0.334500876,135700737,49.80554974,1.96E-296,1.05E-272,8.94E-05
NM_007475,879,50,17.58,116009521,1469,2464,0.596185065,116010476,29.48748809,944,50,18.88,116009521,1236,2433,0.508014797,116010476,37.16427184,7.67E-238,2.04E-271,0.001596744
NR_045038,910,50,18.2,80196831,4839,19299,0.25073838,80197781,72.58561686,934,50,18.68,80196821,4709,19696,0.239084078,80197781,78.13150987,6.19E-261,1.13E-270,0.641431076
NM_009302,1156,50,23.12,117365287,5173,46068,0.112290527,117366217,205.8944829,903,50,18.06,117365287,5460,48477,0.112630732,117366217,160.347,0,6.68E-270,6.84E-08
NM_001025566,1267,50,25.34,3851833,2342,12296,0.190468445,3852773,133.0404099,852,50,17.04,3851833,1779,12353,0.1440136,3852773,118.3221585,0,2.01E-268,0.155732601
NR_027448,767,50,15.34,25188076,574,3122,0.183856502,25187091,83.43463415,793,50,15.86,25188081,628,3267,0.192225283,25187091,82.50735669,5.03E-260,2.64E-267,0.795557662
NM_019640,959,50,19.18,111759798,3447,36484,0.094479772,111760783,203.0064172,850,50,17,111759798,3021,36295,0.083234605,111760783,204.2419729,8.34E-299,1.41E-265,0.999797991
NM_009594,850,50,17,31615525,4822,33824,0.142561495,31616465,119.2467856,886,50,17.72,31615525,5316,36402,0.146035932,31616465,121.34,1.62E-252,3.56E-261,0.631133478
NM_001105557,638,50,12.76,81704025,259,5380,0.048141264,81703020,265.0532819,660,50,13.2,81704025,287,6218,0.04615632,81703020,285.984669,3.23E-254,1.66E-260,0.826517207
NM_007837,614,50,12.28,126727844,553,3549,0.15581854,126728849,78.80962025,720,50,14.4,126727844,417,3416,0.1220726,126728849,117.9625899,2.62E-203,7.73E-260,1.44E-05
NM_178218,972,50,19.44,58768187,287,922,0.311279826,58769187,62.45184669,732,50,14.64,58768187,202,966,0.209109731,58769187,70.01108911,0,9.13E-259,0.841825353
NM_013490,1267,50,25.34,3851833,6103,35545,0.171697848,3852773,147.5848435,852,50,17.04,3851833,4839,35232,0.13734673,3852773,124.0655673,0,5.56E-253,0.010882335
NM_207523,960,50,19.2,77997051,557,1415,0.393639576,77996086,48.77558348,813,50,16.26,77997061,546,1468,0.371934605,77996086,43.71736264,1.16E-306,5.88E-252,0.266638782
NM_011919,577,50,11.54,11556061,638,4197,0.152013343,11557066,75.91438871,713,50,14.26,11556061,474,3534,0.134125637,11557066,106.3182278,1.06E-186,6.78E-250,8.31E-08
NM_172407,502,50,10.04,48799290,257,2649,0.097017743,48798285,103.4862257,674,50,13.48,48799290,305,2744,0.111151603,48798285,121.2758033,9.58E-181,9.89E-249,0.573331437
NM_010073,616,50,12.32,32426423,71,985,0.072081218,32427378,170.9183099,598,50,11.96,32426413,96,1266,0.075829384,32427378,157.7225,3.21E-255,1.61E-244,0.230820074
NM_026383,842,50,16.84,135429726,314,1511,0.207809398,135428761,81.03579618,683,50,13.66,135429746,272,1605,0.169470405,135428761,80.60404412,2.73E-301,7.82E-243,0.83695976
NR_038151,1168,50,23.36,33954566,35,98,0.357142857,33955546,65.408,1013,50,20.26,33954561,26,98,0.265306122,33955546,76.36461538,2.63E-270,1.75E-238,0.880046118
NR_038152,1168,50,23.36,33954566,35,98,0.357142857,33955546,65.408,1013,50,20.26,33954561,26,98,0.265306122,33955546,76.36461538,2.63E-270,1.75E-238,0.880046118
NM_008654,708,50,14.16,52781598,239,1219,0.196062346,52780638,72.22192469,643,50,12.86,52781598,204,1543,0.132209981,52780638,97.2695098,1.76E-250,6.17E-238,0.867588587
NM_028287,523,50,10.46,33671038,818,12548,0.065189672,33670018,160.4548655,694,50,13.88,33671043,874,13499,0.064745537,33670018,214.3777117,2.31E-173,1.63E-237,0.044265977
NM_026069,1138,50,22.76,5066653,737,1479,0.498309669,5067613,45.67440977,803,50,16.06,5066653,647,1471,0.439836846,5067613,36.51353941,0,2.92E-237,0.028019543
NM_025594,670,50,13.4,36953597,544,3667,0.14835015,36954577,90.32683824,685,50,13.7,36953577,512,3646,0.140427866,36954577,97.55898438,1.47E-227,4.45E-236,0.670572416
NM_001110145,790,50,15.8,69699704,853,7554,0.112920307,69700619,139.9216882,686,50,13.72,69699694,826,7466,0.110634878,69700619,124.0115254,5.26E-269,3.68E-229,0.42668253
NM_009278,790,50,15.8,69699704,853,7554,0.112920307,69700619,139.9216882,686,50,13.72,69699694,826,7466,0.110634878,69700619,124.0115254,5.26E-269,3.68E-229,0.42668253
NM_134139,692,50,13.84,8810359,266,2965,0.089713322,8811329,154.2691729,602,50,12.04,8810359,237,2751,0.086150491,8811329,139.755443,3.52E-266,7.38E-229,0.994786541
NM_010214,599,50,11.98,84565250,185,2202,0.084014532,84564240,142.5943784,593,50,11.86,84565250,247,2901,0.085143054,84564240,139.2949798,6.51E-234,1.65E-224,0.07281162
NM_001163684,741,50,14.82,52318149,573,8489,0.067499117,52318799,219.5584293,631,50,12.62,52318134,577,9174,0.062895138,52318799,200.6514385,4.29E-269,5.88E-223,0.197352503
NM_025533,741,50,14.82,52318149,573,8489,0.067499117,52318799,219.5584293,631,50,12.62,52318134,577,9174,0.062895138,52318799,200.6514385,4.29E-269,5.88E-223,0.197352503
NM_013663,548,50,10.96,29169615,4477,8152,0.549190383,29170605,19.95664954,842,50,16.84,29169615,4133,8304,0.497711946,29170605,33.83483184,6.13E-128,5.05E-221,1.40E-15
NR_036613,548,50,10.96,29169615,4477,8152,0.549190383,29170605,19.95664954,842,50,16.84,29169615,4133,8304,0.497711946,29170605,33.83483184,6.13E-128,5.05E-221,1.40E-15
NR_045821,615,50,12.3,138705318,124,1363,0.090975789,138706273,135.2008065,560,50,11.2,138705318,125,1431,0.087351502,138706273,128.2176,1.92E-244,7.05E-220,0.810379495
NM_001205287,780,50,15.6,38562972,1674,19136,0.087479097,38563927,178.3283154,693,50,13.86,38562972,1754,19802,0.088576911,38563927,156.4741847,3.25E-252,4.53E-219,0.076306276
NM_026407,780,50,15.6,38562972,1674,19136,0.087479097,38563927,178.3283154,693,50,13.86,38562972,1754,19802,0.088576911,38563927,156.4741847,3.25E-252,4.53E-219,0.076306276
NM_009388,1420,50,28.4,31362365,3391,20195,0.16791285,31363335,169.1353583,717,50,14.34,31362365,2871,20690,0.138762687,31363335,103.3419018,0,1.29E-213,1.11E-20
NM_001080384,905,50,18.1,44025580,2263,15277,0.148131178,44026515,122.1889969,696,50,13.92,44025575,2057,16357,0.125756557,44026515,110.6900535,6.94E-283,1.41E-213,0.049384248
NM_001080385,905,50,18.1,44025580,2263,15277,0.148131178,44026515,122.1889969,696,50,13.92,44025575,2057,16357,0.125756557,44026515,110.6900535,6.94E-283,1.41E-213,0.049384248
NM_001080386,905,50,18.1,44025580,2263,15277,0.148131178,44026515,122.1889969,696,50,13.92,44025575,2057,16357,0.125756557,44026515,110.6900535,6.94E-283,1.41E-213,0.049384248
NM_016760,905,50,18.1,44025580,2263,15277,0.148131178,44026515,122.1889969,696,50,13.92,44025575,2057,16357,0.125756557,44026515,110.6900535,6.94E-283,1.41E-213,0.049384248
NM_008715,664,50,13.28,63379979,6980,60474,0.115421503,63378949,115.0565501,729,50,14.58,63379979,6577,62630,0.105013572,63378949,138.8391972,1.18E-192,1.81E-213,0.063412923
NM_008162,895,50,17.9,79516455,366,1422,0.257383966,79517255,69.54590164,650,50,13,79516455,368,1541,0.23880597,79517255,54.4375,1.03117044720738e-310,3.60E-212,0.006077442
NM_025479,652,50,13.04,17787252,322,2068,0.155705996,17788247,83.74757764,596,50,11.92,17787252,273,1884,0.144904459,17788247,82.2610989,1.43E-229,4.39E-211,0.786728675
NM_001037741,899,50,17.98,79516457,274,1069,0.256314312,79517782,70.14824818,642,50,12.84,79516457,276,1105,0.249773756,79517782,51.40652174,1.14013157575684e-317,2.94E-210,0.010720521
NM_178376,569,50,11.38,86221607,56,575,0.097391304,86222577,116.8482143,547,50,10.94,86221607,37,462,0.08008658,86222577,136.6021622,4.38E-218,1.70E-209,0.371812456
NM_001009935,512,50,10.24,96361895,321,2112,0.151988636,96362880,67.37345794,683,50,13.66,96361880,771,2723,0.283143592,96362880,48.24407263,6.03E-172,1.04E-207,4.69E-09
NM_023719,512,50,10.24,96361895,321,2112,0.151988636,96362880,67.37345794,683,50,13.66,96361880,771,2723,0.283143592,96362880,48.24407263,6.03E-172,1.04E-207,4.69E-09
NM_018860,1446,50,28.92,127986174,41,50,0.82,127985224,35.26829268,1322,50,26.44,127986174,28,50,0.56,127985224,47.21428571,1.69E-215,2.79E-206,0.61817051
NM_024220,502,50,10.04,104548588,192,3161,0.060740272,104549513,165.2939583,506,50,10.12,104548583,156,3196,0.048811014,104549513,207.3302564,3.77E-194,4.70E-204,0.349040862
NM_172746,554,50,11.08,134005516,65,1238,0.052504039,134006486,211.0313846,474,50,9.48,134005501,50,1170,0.042735043,134006486,221.832,2.81E-236,6.37E-204,0.892673427
NM_001037754,863,50,17.26,119804401,3450,39752,0.086788086,119805406,198.8752232,689,50,13.78,119804396,4589,44140,0.103964658,119805406,132.5450425,1.17E-267,1.05E-203,2.33E-17
NM_130862,863,50,17.26,119804401,3450,39752,0.086788086,119805406,198.8752232,689,50,13.78,119804396,4589,44140,0.103964658,119805406,132.5450425,1.17E-267,1.05E-203,2.33E-17
NM_001037755,863,50,17.26,119804401,3647,42141,0.086542797,119805406,199.4388977,689,50,13.78,119804396,4883,47043,0.103798652,119805406,132.7570223,1.16E-266,3.95E-203,6.17E-18
NM_011262,846,50,16.92,5912791,1054,10128,0.10406793,5911866,162.5861101,625,50,12.5,5912796,1077,10795,0.099768411,5911866,125.2901578,4.11E-287,3.29E-201,0.000101268
NM_010385,553,50,11.06,34077278,11,187,0.058823529,34076288,188.02,542,50,10.84,34077278,19,312,0.060897436,34076288,178.0042105,4.04E-180,8.40E-201,0.444613369
NM_011058,746,50,14.92,75548356,9245,39496,0.234074337,75549316,63.74043483,750,50,15,75548356,12543,42046,0.29831613,75549316,50.28222913,1.64E-205,9.00E-201,2.29E-06
NM_134003,796,50,15.92,127984910,335,2297,0.145842403,127983800,109.1589254,574,50,11.48,127984910,328,2516,0.13036566,127983800,88.06,1.61E-293,5.00E-200,0.019435877
NM_001185182,558,50,11.16,34077275,9,174,0.051724138,34076275,215.76,541,50,10.82,34077280,17,299,0.056856187,34076275,190.3047059,6.79E-179,2.44E-199,0.391284575
NM_025926,628,50,12.56,151856722,853,7024,0.121440774,151855807,103.4249004,609,50,12.18,151856722,903,7626,0.1184107,151855807,102.8623256,3.14E-205,4.05E-196,0.589539187
NM_009560,633,50,12.66,28516413,985,10970,0.089790337,28517428,140.9951269,604,50,12.08,28516423,1052,11740,0.089608177,28517428,134.8091255,2.44E-208,2.03E-195,0.403210106
NM_029531,633,50,12.66,28516413,985,10970,0.089790337,28517428,140.9951269,604,50,12.08,28516423,1052,11740,0.089608177,28517428,134.8091255,2.44E-208,2.03E-195,0.403210106
NM_007669,715,50,14.3,29230762,2212,5521,0.400652056,29231717,35.69181736,737,50,14.74,29230717,2649,5696,0.465063202,29231717,31.69461684,4.77E-194,1.08E-194,0.096653736
NM_007512,621,50,12.42,132089484,155,1341,0.115585384,132088574,107.4530323,549,50,10.98,132089504,203,1421,0.142857143,132088574,76.86,1.30E-236,2.78E-194,0.01878066
NM_025404,344,50,6.88,101526875,26,497,0.052313883,101527855,131.5138462,508,50,10.16,101526875,26,400,0.065,101527855,156.3076923,4.27E-132,4.52E-194,0.51807365
NM_009357,695,50,13.9,83725746,223,2785,0.080071813,83724806,173.5941704,523,50,10.46,83725746,256,2669,0.095916073,83724806,109.0536719,2.90E-275,2.16E-190,0.002305392
NM_010234,604,50,12.08,86814836,42,768,0.0546875,86815851,220.8914286,444,50,8.88,86814831,21,617,0.034035656,86815851,260.9028571,1.38E-256,9.21E-188,0.513495
NM_026054,755,50,15.1,149257991,2526,19450,0.129871465,149258936,116.2688044,632,50,12.64,149257991,2647,20492,0.12917236,149258936,97.85375142,1.19E-230,1.40E-187,0.004572806
NM_023434,550,50,11,52899271,607,8281,0.073300326,52899821,150.0675453,555,50,11.1,52899261,663,8893,0.074553019,52899821,148.8873303,9.14E-188,2.41E-187,0.689126899
NM_025927,569,50,11.38,97177215,396,6030,0.065671642,97178030,173.2863636,522,50,10.44,97177205,443,5906,0.075008466,97178030,139.1842889,9.55E-207,1.08E-182,0.18678087
NM_009297,719,50,14.38,78059180,2032,25144,0.080814508,78058205,177.9383465,593,50,11.86,78059185,2107,26110,0.080697051,78058205,146.9694352,1.88E-227,2.49E-182,0.006556379
NM_011361,1035,50,20.7,21714612,4742,4237,1.119188105,21715472,18.4955504,805,50,16.1,21714597,4050,4221,0.959488273,21715472,16.77977778,3.00E-241,9.15E-182,0.29677594
NM_019865,610,50,12.2,131120223,489,1236,0.395631068,131121193,30.83680982,613,50,12.26,131120223,430,1211,0.355078448,131121193,34.5275814,9.44E-174,6.96E-181,0.43356748
NM_007598,697,50,13.94,122563084,3381,20576,0.164317652,122562124,84.83568175,619,50,12.38,122563074,3013,21190,0.142189712,122562124,87.0667773,2.89E-203,4.29E-180,1
NM_001042591,914,50,18.28,81022698,4146,10871,0.381381658,81023683,47.9309889,683,50,13.66,81022678,4127,11021,0.374466927,81023683,36.47852193,2.04E-253,7.30E-180,1.41E-05
